label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
b32-r3,active,100,150,50000,32,70.0,0.3161498222822284,2.1226221403759675e-05,6.713975434346735e-05,10.0,1000.4931417780999,50024657.088905,70034.519924467
b32-r3,all,150,200,50000,32,70.0,0.16340047520456144,1.6444216549806218e-05,0.00010063750750552998,10.0,3745.3582889308773,187267914.44654387,262175.0802251614
b32-r3,active,150,200,50000,32,70.0,0.16376393874011735,2.122891743598501e-05,0.00012963120940608246,10.0,3728.751574218685,186437578.71093425,261012.61019530796
b64-r1,all,0,50,25000,64,69.0,4.420891192381938,1.7958460735388406e-05,4.062181120027191e-06,10.0,5.116586819764042,127914.67049410105,353.0444905637189
b64-r1,active,0,50,25000,64,69.0,4.424897178006037,2.3184233245814194e-05,5.23949649294711e-06,10.0,5.107326629448654,127683.16573621634,352.4055374319571
b64-r1,all,50,100,25000,64,69.0,0.9563006160791822,1.6435552239191667e-05,1.718659589133925e-05,10.0,109.34807170134992,2733701.792533748,7545.016947393145
b64-r1,active,50,100,25000,64,69.0,0.9575955328727965,2.121799660821531e-05,2.215757684725314e-05,10.0,109.0525379151298,2726313.4478782453,7524.625116143957
b64-r1,all,100,150,25000,64,69.0,0.4639455572770176,1.6442046733492177e-05,3.5439603797466226e-05,10.0,464.5858298423046,11614645.746057615,32056.422259119016
b64-r1,active,100,150,25000,64,69.0,0.46502358663756044,2.1226221403759675e-05,4.564547264632278e-05,10.0,462.43429752098507,11560857.438024627,31907.96652894797
b64-r1,all,150,200,25000,64,69.0,0.2381848777356434,1.6444216549806218e-05,6.903971698848708e-05,10.0,1762.6725053870423,44066812.634676054,121624.40287170591
b64-r1,active,150,200,25000,64,69.0,0.23893789419774839,2.122891743598501e-05,8.884700983601897e-05,10.0,1751.5798331146693,43789495.82786673,120859.00848491218
b64-r2,all,0,50,25000,64,69.0,5.151842302362503,1.7958460735388406e-05,3.485832772317801e-06,10.0,3.7676875351045167,94192.18837761291,259.97043992221165
b64-r2,active,0,50,25000,64,69.0,5.157091018877691,2.3184233245814194e-05,4.495602881730726e-06,10.0,3.7600221825712796,94000.55456428199,259.4415305974183
b64-r2,all,50,100,25000,64,69.0,0.9499604340765073,1.6435552239191667e-05,1.7301301874924183e-05,10.0,110.8125542254935,2770313.8556373375,7646.066241559051
b64-r2,active,50,100,25000,64,69.0,0.9511179138550553,2.121799660821531e-05,2.2308481734104742e-05,10.0,110.54300774189329,2763575.193547332,7627.467534190637
b64-r2,all,100,150,25000,64,69.0,0.5426907480549683,1.6442046733492177e-05,3.02972674445277e-05,10.0,339.5432995655747,8488582.489139369,23428.487670024657
b64-r2,active,100,150,25000,64,69.0,0.544310825868662,2.1226221403759675e-05,3.899650786824769e-05,10.0,337.5250853174146,8438127.132935366,23289.23088690161
b64-r2,all,150,200,25000,64,69.0,0.20887962888668835,1.6444216549806218e-05,7.872580316928258e-05,10.0,2291.9641779310086,57299104.448275216,158145.5282772396
b64-r2,active,150,200,25000,64,69.0,0.20937789970716547,2.122891743598501e-05,0.00010139044027891976,10.0,2281.068472098937,57026711.802473426,157393.72457482666
b64-r3,all,0,50,25000,64,69.0,6.603346129588793,1.7958460735388406e-05,2.7196000910687873e-06,10.0,2.2933581081963825,57333.95270490956,158.2417094655504
