#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.4156502553198661e-03 -1.6739316251010847e-01
#     2 3.4156502553198661e-03 -1.6537531855629614e-01
#     3 3.4156502553198661e-03 -1.6335073707078643e-01
#adaptive measurement: gap=2.0178439538123261e-03 period_steps=6228 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 33.50000000 +2.0000000000000000e+00 +1.9999901980532548e+00 +2.0756051517703861e-03 +9.9935488899082336e-01 +9.9999544166134924e-01 +3.8322611667179052e-04 +2.6644323042531668e-04
 34.00000000 +2.0000000000000000e+00 +1.9999850075698713e+00 +2.0598891262225819e-03 +9.9938969846821346e-01 +9.9999547209658934e-01 +3.4431574452784453e-04 +2.7051369188410259e-04
 34.50000000 +2.0000000000000000e+00 +1.9999878612623159e+00 +2.0848070647292937e-03 +9.9932867188080565e-01 +9.9999581614176758e-01 +3.6735355040727461e-04 +3.0815842744857317e-04
 35.00000000 +2.0000000000000000e+00 +1.9999860597329779e+00 +2.0253997928756737e-03 +9.9947919575186472e-01 +9.9999541169669370e-01 +2.6884126510868709e-04 +2.5655128633919871e-04
 35.50000000 +2.0000000000000000e+00 +1.9999815729087425e+00 +2.0300301698253503e-03 +9.9946723762333034e-01 +9.9999575090897630e-01 +2.7749960469838198e-04 +2.5951186288875841e-04
 36.00000000 +2.0000000000000000e+00 +1.9999914131327243e+00 +2.0213511508883520e-03 +9.9949456460809649e-01 +9.9999507116168851e-01 +2.3178144290865555e-04 +2.7858278610226969e-04
 36.50000000 +2.0000000000000000e+00 +1.9999925669573320e+00 +1.9845931932221759e-03 +9.9959124897130203e-01 +9.9999589319098980e-01 +2.0762231645312824e-04 +2.0523552194205171e-04
 37.00000000 +2.0000000000000000e+00 +1.9999872607911720e+00 +2.0197547911203111e-03 +9.9950109946857923e-01 +9.9999532536189095e-01 +2.8032625154394497e-04 +2.2324891917473375e-04
 37.50000000 +2.0000000000000000e+00 +1.9999845562606553e+00 +2.0017166396670886e-03 +9.9955395972921945e-01 +9.9999654188165810e-01 +2.7305890882693679e-04 +1.7643948083115768e-04
 38.00000000 +2.0000000000000000e+00 +1.9999882578128498e+00 +1.9763684111493321e-03 +9.9961783532340343e-01 +9.9999588320134580e-01 +1.8014639432741293e-04 +2.0613507977584422e-04
 38.50000000 +2.0000000000000000e+00 +1.9999900432488411e+00 +1.9776366739076693e-03 +9.9962182168223390e-01 +9.9999340738400511e-01 +1.9097924105197146e-04 +1.9379169346546391e-04
 39.00000000 +2.0000000000000000e+00 +1.9999775803314570e+00 +1.9546507122581349e-03 +9.9967888791980020e-01 +9.9999424546380933e-01 +1.9118096025288721e-04 +1.3568565510730689e-04
 39.50000000 +2.0000000000000000e+00 +1.9999872095073850e+00 +2.0275454154373212e-03 +9.9950109208506954e-01 +9.9999612211095945e-01 +2.7843216205884584e-04 +2.2435364202045213e-04
 40.00000000 +2.0000000000000000e+00 +1.9999918470834521e+00 +2.0124931044539496e-03 +9.9954320911548855e-01 +9.9999586807863183e-01 +2.1033238262748759e-04 +2.5059042265618606e-04
 40.50000000 +2.0000000000000000e+00 +1.9999957487202260e+00 +1.9863739064997356e-03 +9.9961798985229033e-01 +9.9999263002772920e-01 +1.8588450459211696e-04 +2.0349561425474461e-04
 41.00000000 +2.0000000000000000e+00 +1.9999881765353791e+00 +1.9919784387615433e-03 +9.9960300267620217e-01 +9.9999400684501072e-01 +1.5213690625660411e-04 +2.5085357354379519e-04
 41.50000000 +2.0000000000000000e+00 +1.9999860950555699e+00 +2.0054482303403683e-03 +9.9957121305398888e-01 +9.9999377234108955e-01 +2.7449316499244207e-04 +1.6052143923100370e-04
 42.00000000 +2.0000000000000000e+00 +1.9999930360770064e+00 +2.0216682129617167e-03 +9.9953764671382817e-01 +9.9999257907718864e-01 +2.5122021265954928e-04 +2.1855399521699629e-04
 42.50000000 +2.0000000000000000e+00 +1.9999851070382453e+00 +2.0321843088955799e-03 +9.9950586634785910e-01 +9.9999373004428749e-01 +1.7521355345917879e-04 +3.2519005332639467e-04
 43.00000000 +2.0000000000000000e+00 +1.9999872792814453e+00 +2.0041639880372603e-03 +9.9958116632482918e-01 +9.9999349606367127e-01 +2.3387217484131912e-04 +1.9146543559694714e-04
 43.50000000 +2.0000000000000000e+00 +1.9999861871382270e+00 +1.9808141980988793e-03 +9.9963962575061327e-01 +9.9999118856512781e-01 +1.9190839775710451e-04 +1.7727728758245708e-04
 44.00000000 +2.0000000000000000e+00 +1.9999873977866696e+00 +2.0377068029186571e-03 +9.9950286429061219e-01 +9.9999222393747056e-01 +2.0545040229448568e-04 +2.9946136905963843e-04
 44.50000000 +2.0000000000000000e+00 +1.9999931559510002e+00 +2.0332222981016917e-03 +9.9951725933772972e-01 +9.9999550891657152e-01 +2.3084792815760983e-04 +2.5638381755098476e-04
 45.00000000 +2.0000000000000000e+00 +1.9999847176845382e+00 +2.0399570319265085e-03 +9.9949363756801735e-01 +9.9999081943113532e-01 +2.5203805179824988e-04 +2.6350494999663151e-04
 45.50000000 +2.0000000000000000e+00 +1.9999802446745940e+00 +2.0243325868065623e-03 +9.9953407879833700e-01 +9.9999479284189408e-01 +2.2703825589952256e-04 +2.4409010478252419e-04
 46.00000000 +2.0000000000000000e+00 +1.9999842815791278e+00 +2.0533500579527973e-03 +9.9945353454771813e-01 +9.9999118378616336e-01 +2.7373500831735065e-04 +2.8154665780163671e-04
 46.50000000 +2.0000000000000000e+00 +1.9999884730445743e+00 +2.0549582753406144e-03 +9.9944412703331686e-01 +9.9998965261746553e-01 +3.0506870251108752e-04 +2.6115164620844748e-04
 47.00000000 +2.0000000000000000e+00 +1.9999775840664613e+00 +1.9757824090257279e-03 +9.9964378471332194e-01 +9.9999238390118572e-01 +1.7188546122157847e-04 +1.9194592325024471e-04
 47.50000000 +2.0000000000000000e+00 +1.9999959093492623e+00 +2.0710596519848243e-03 +9.9941028692735911e-01 +9.9999403217511518e-01 +3.5202944483009221e-04 +2.4365145283261291e-04
 48.00000000 +2.0000000000000000e+00 +1.9999899888875965e+00 +2.0239692842123256e-03 +9.9952273608946884e-01 +9.9999303552104513e-01 +2.2166228478500539e-04 +2.6256610427044801e-04
 48.50000000 +2.0000000000000000e+00 +1.9999807116310888e+00 +2.0692129252447003e-03 +9.9940263180804578e-01 +9.9999287104465673e-01 +3.3054179407455509e-04 +2.7395535378156209e-04
 49.00000000 +2.0000000000000000e+00 +1.9999795631975796e+00 +2.1099104962166676e-03 +9.9929684186203438e-01 +9.9999278060947883e-01 +3.9981723406610505e-04 +3.1056029357265450e-04
 49.50000000 +2.0000000000000000e+00 +1.9999803146041579e+00 +2.0669407745169230e-03 +9.9940167886972764e-01 +9.9999070890276354e-01 +3.7827242145676513e-04 +2.2933980594426446e-04
 50.00000000 +2.0000000000000000e+00 +1.9999961571649074e+00 +2.0548767852059777e-03 +9.9943450777378928e-01 +9.9999379659067233e-01 +2.9026362013697386e-04 +2.8143201446462077e-04
 50.50000000 +2.0000000000000000e+00 +1.9999956737246087e+00 +2.0495110812506481e-03 +9.9944520432869544e-01 +9.9998946584349568e-01 +2.5390566261613537e-04 +3.1142416427015318e-04
 51.00000000 +2.0000000000000000e+00 +1.9999780475496038e+00 +2.0614591283307764e-03 +9.9940391302557496e-01 +9.9999219182364230e-01 +3.5411862245872887e-04 +2.4977652820700499e-04
 51.50000000 +2.0000000000000000e+00 +1.9999817282244796e+00 +2.0801825512695451e-03 +9.9935460509720997e-01 +9.9998920034900574e-01 +3.5898309887913600e-04 +2.9721145399565956e-04
 52.00000000 +2.0000000000000000e+00 +1.9999914685767544e+00 +2.0760816159848049e-03 +9.9937065762821720e-01 +9.9999066103349887e-01 +2.9688181451569196e-04 +3.4179952426429202e-04
 52.50000000 +2.0000000000000000e+00 +1.9999871090243488e+00 +2.0882436619221820e-03 +9.9934115944181312e-01 +9.9999082149244956e-01 +3.6040562214072316e-04 +3.0761344397366841e-04
 53.00000000 +2.0000000000000000e+00 +1.9999808446048222e+00 +2.0632164368673783e-03 +9.9939378304538973e-01 +9.9999238439696359e-01 +3.3295401841087021e-04 +2.8087853968684971e-04
 53.50000000 +2.0000000000000000e+00 +1.9999923053941246e+00 +2.0950896910145286e-03 +9.9933122327661728e-01 +9.9998723087591224e-01 +3.8222551254648413e-04 +2.9932033448445972e-04
 54.00000000 +2.0000000000000000e+00 +1.9999943822490023e+00 +2.1052695257385498e-03 +9.9929393711250336e-01 +9.9998986850555860e-01 +3.3964949391293163e-04 +3.7654488724628282e-04
 54.50000000 +2.0000000000000000e+00 +1.9999833553824935e+00 +2.0842681120796422e-03 +9.9934435078811934e-01 +9.9998519802675800e-01 +2.9366798766860853e-04 +3.7678319700774015e-04
 55.00000000 +2.0000000000000000e+00 +1.9999608344972204e+00 +2.0260902162247993e-03 +9.9948781542145582e-01 +9.9998898331942221e-01 +2.8348183338645303e-04 +2.3971942529903435e-04
 55.50000000 +2.0000000000000000e+00 +1.9999945034181639e+00 +2.0724444137781334e-03 +9.9938317739662075e-01 +9.9999201713636021e-01 +3.4822062136953178e-04 +2.7658484534114292e-04
 56.00000000 +2.0000000000000000e+00 +1.9999758403564358e+00 +2.0871139868965010e-03 +9.9933772744275606e-01 +9.9998825724212070e-01 +3.2488401761047786e-04 +3.4913129823361470e-04
 56.50000000 +2.0000000000000000e+00 +1.9999875926330606e+00 +2.0244572538751292e-03 +9.9950653464939276e-01 +9.9999040676353890e-01 +2.7895370323338935e-04 +2.2410488309509023e-04
 57.00000000 +2.0000000000000000e+00 +1.9999855781412414e+00 +2.0534509250803566e-03 +9.9943758042570219e-01 +9.9999148706357877e-01 +2.9535281696588912e-04 +2.7557969339567093e-04
 57.50000000 +2.0000000000000000e+00 +1.9999951652951455e+00 +1.9865372538915359e-03 +9.9960646028105282e-01 +9.9999182114221552e-01 +2.8712002194159446e-04 +1.1459855440730978e-04
 58.00000000 +2.0000000000000000e+00 +1.9999648974616420e+00 +2.1071668398464265e-03 +9.9928850675865366e-01 +9.9998688124202917e-01 +2.7218777012041255e-04 +4.5242422907684543e-04
 58.50000000 +2.0000000000000000e+00 +1.9999769029262882e+00 +1.9661609073767577e-03 +9.9966054546314775e-01 +9.9998949781548052e-01 +1.9347205569001150e-04 +1.5648466535107057e-04
 59.00000000 +2.0000000000000000e+00 +1.9999699874019314e+00 +1.9605299144932211e-03 +9.9966552577247125e-01 +9.9998917667378517e-01 +1.0225187121209051e-04 +2.4304568229253156e-04
 59.50000000 +2.0000000000000000e+00 +1.9999763313556014e+00 +2.0814956016074566e-03 +9.9935801281632286e-01 +9.9998757055196985e-01 +3.0269453552397618e-04 +3.5172209542547460e-04
 60.00000000 +2.0000000000000000e+00 +1.9999926565620794e+00 +2.0093934887214070e-03 +9.9955514391375899e-01 +9.9998627512741112e-01 +1.4547508323750372e-04 +3.1310587483922509e-04
 60.50000000 +2.0000000000000000e+00 +1.9999823353762607e+00 +2.0054152478146039e-03 +9.9955996130274682e-01 +9.9998869306827964e-01 +1.6899495182186213e-04 +2.8235067669334004e-04
 61.00000000 +2.0000000000000000e+00 +1.9999773201549127e+00 +2.1259204143571930e-03 +9.9926336137011351e-01 +9.9998653473128674e-01 +3.5620726657182320e-04 +3.9389663137070878e-04
 61.50000000 +2.0000000000000000e+00 +1.9999944246199006e+00 +2.0568104514783088e-03 +9.9944236386908480e-01 +9.9998038859448291e-01 +3.7249674679804207e-04 +2.0475078936596760e-04
