stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
confirm3,e02_best_b24,140-150,3.38946,2.961e-05,24,3.0026309210344375,1.380074234621325,1.380074234621325
confirm3,e03_random_b16,0-10,3.372814,2.8427e-05,16,139.55233390588657,136.70701846519196,136.70701846519196
confirm3,e03_random_b16,10-20,3.372814,2.8427e-05,16,47.43800876036404,51.73539288755451,47.43800876036404
confirm3,e03_random_b16,20-30,3.372814,2.8427e-05,16,17.426839894487838,16.113098424559638,16.113098424559638
confirm3,e03_random_b16,30-40,3.372814,2.8427e-05,16,13.499273052636543,11.49278496381947,11.49278496381947
confirm3,e03_random_b16,40-50,3.372814,2.8427e-05,16,8.570095361927175,9.247261284051598,8.570095361927175
confirm3,e03_random_b16,50-60,3.372814,2.8427e-05,16,8.911203773485413,7.092984416479558,7.092984416479558
confirm3,e03_random_b16,60-70,3.372814,2.8427e-05,16,5.299505191946777,6.167663518793408,5.299505191946777
confirm3,e03_random_b16,70-80,3.372814,2.8427e-05,16,5.823073395013868,6.083535888280981,5.823073395013868
confirm3,e03_random_b16,80-90,3.372814,2.8427e-05,16,5.496544865835211,3.7210164531597836,3.7210164531597836
confirm3,e03_random_b16,90-100,3.372814,2.8427e-05,16,3.705095896215242,2.947148731420064,2.947148731420064
confirm3,e03_random_b16,100-110,3.372814,2.8427e-05,16,3.0910099136525053,2.527679952377861,2.527679952377861
confirm3,e03_random_b16,110-120,3.372814,2.8427e-05,16,2.3306098709152994,2.882785692146046,2.3306098709152994
confirm3,e03_random_b16,120-130,3.372814,2.8427e-05,16,1.8171776855938293,1.7429657499879379,1.7429657499879379
confirm3,e03_random_b16,130-140,3.372814,2.8427e-05,16,2.0657612295179497,1.5746430644220066,1.5746430644220066
confirm3,e03_random_b16,140-150,3.372814,2.8427e-05,16,1.6285655853786158,1.3755117819587916,1.3755117819587916
confirm3,e04_random_b24,0-10,3.407263,3.0376e-05,24,146.69079067412304,141.78336239527462,141.78336239527462
confirm3,e04_random_b24,10-20,3.407263,3.0376e-05,24,62.808424045234496,58.153334985281575,58.153334985281575
confirm3,e04_random_b24,20-30,3.407263,3.0376e-05,24,23.587849750847557,22.74023942080612,22.74023942080612
confirm3,e04_random_b24,30-40,3.407263,3.0376e-05,24,17.579777665505876,14.660275168632795,14.660275168632795
confirm3,e04_random_b24,40-50,3.407263,3.0376e-05,24,11.29633199725254,10.102078427164537,10.102078427164537
confirm3,e04_random_b24,50-60,3.407263,3.0376e-05,24,9.250517082320409,9.46560389616855,9.250517082320409
confirm3,e04_random_b24,60-70,3.407263,3.0376e-05,24,12.336039625950885,12.179498839498446,12.179498839498446
confirm3,e04_random_b24,70-80,3.407263,3.0376e-05,24,6.611606629419103,6.390266005484464,6.390266005484464
confirm3,e04_random_b24,80-90,3.407263,3.0376e-05,24,2.88317097154792,5.943278203938726,2.88317097154792
confirm3,e04_random_b24,90-100,3.407263,3.0376e-05,24,3.5489492228924506,3.365410600662166,3.365410600662166
confirm3,e04_random_b24,100-110,3.407263,3.0376e-05,24,3.7112722012412704,4.045603524737774,3.7112722012412704
confirm3,e04_random_b24,110-120,3.407263,3.0376e-05,24,3.4619258749716932,2.9362891193923923,2.9362891193923923
confirm3,e04_random_b24,120-130,3.407263,3.0376e-05,24,4.358621078811324,2.8981129168435267,2.8981129168435267
confirm3,e04_random_b24,130-140,3.407263,3.0376e-05,24,2.5397210936240096,1.8637927123858244,1.8637927123858244
confirm3,e04_random_b24,140-150,3.407263,3.0376e-05,24,3.1521061159082717,2.253488468552904,2.253488468552904
confirm3,e05_random_b32,0-10,3.351907,3.1184e-05,32,213.7347497654777,146.19818610894583,146.19818610894583
confirm3,e05_random_b32,10-20,3.351907,3.1184e-05,32,74.48672257072678,57.64288723840517,57.64288723840517
confirm3,e05_random_b32,20-30,3.351907,3.1184e-05,32,27.00723414703671,29.277902981357176,27.00723414703671
confirm3,e05_random_b32,30-40,3.351907,3.1184e-05,32,15.755446990561724,19.05728056604899,15.755446990561724
confirm3,e05_random_b32,40-50,3.351907,3.1184e-05,32,12.575971544985089,11.348619120683747,11.348619120683747
confirm3,e05_random_b32,50-60,3.351907,3.1184e-05,32,9.737127626838788,10.822226065538475,9.737127626838788
confirm3,e05_random_b32,60-70,3.351907,3.1184e-05,32,10.431425904599765,7.461753434034698,7.461753434034698
confirm3,e05_random_b32,70-80,3.351907,3.1184e-05,32,6.151476231843949,5.4448968932123085,5.4448968932123085
confirm3,e05_random_b32,80-90,3.351907,3.1184e-05,32,4.166203248609373,6.020873611448654,4.166203248609373
confirm3,e05_random_b32,90-100,3.351907,3.1184e-05,32,3.284113122923555,4.8512316101189255,3.284113122923555
confirm3,e05_random_b32,100-110,3.351907,3.1184e-05,32,3.3613325596623636,3.924222689978387,3.3613325596623636
confirm3,e05_random_b32,110-120,3.351907,3.1184e-05,32,3.5937256809078124,2.5428516211255454,2.5428516211255454
confirm3,e05_random_b32,120-130,3.351907,3.1184e-05,32,2.645704530946461,3.093796506477408,2.645704530946461
confirm3,e05_random_b32,130-140,3.351907,3.1184e-05,32,2.472338224110385,2.3395985483700126,2.3395985483700126
confirm3,e05_random_b32,140-150,3.351907,3.1184e-05,32,2.397648936742349,4.09195369250388,2.397648936742349
