stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
pilot,p04_center_b16,60-70,4.0,0.00017,16,9.44315731436515,9.925539635281392,9.44315731436515
pilot,p04_center_b16,70-80,4.0,0.00017,16,7.34117661189454,7.316275356330558,7.316275356330558
pilot,p04_center_b16,80-90,4.0,0.00017,16,5.282182579577692,3.881174739973684,3.881174739973684
pilot,p04_center_b16,90-100,4.0,0.00017,16,5.325007220167241,4.309980112608638,4.309980112608638
pilot,p04_center_b16,100-110,4.0,0.00017,16,3.036423139517601,1.855049311796745,1.855049311796745
pilot,p04_center_b16,110-120,4.0,0.00017,16,1.6365750194017696,2.307512008510469,1.6365750194017696
pilot,p04_center_b16,120-130,4.0,0.00017,16,1.4474137900482587,1.3900862587037544,1.3900862587037544
pilot,p04_center_b16,130-140,4.0,0.00017,16,1.4447589865684336,1.4465431382452276,1.4447589865684336
pilot,p04_center_b16,140-150,4.0,0.00017,16,0.49535197628568267,0.7249999594118094,0.49535197628568267
pilot,p05_random_01,0-10,4.145914,0.00012438,12,334.33769278822183,426.1923803386106,334.33769278822183
pilot,p05_random_01,10-20,4.145914,0.00012438,12,111.2314381900716,116.81935270721904,111.2314381900716
pilot,p05_random_01,20-30,4.145914,0.00012438,12,39.33091022755192,38.52510915062802,38.52510915062802
pilot,p05_random_01,30-40,4.145914,0.00012438,12,30.812302699274323,28.27796314600812,28.27796314600812
pilot,p05_random_01,40-50,4.145914,0.00012438,12,18.00157196872484,17.786966025448272,17.786966025448272
pilot,p05_random_01,50-60,4.145914,0.00012438,12,12.567657854935259,13.696281456540158,12.567657854935259
pilot,p05_random_01,60-70,4.145914,0.00012438,12,13.677623638234431,11.767280652598437,11.767280652598437
pilot,p05_random_01,70-80,4.145914,0.00012438,12,9.89718348114841,5.213943101559889,5.213943101559889
pilot,p05_random_01,80-90,4.145914,0.00012438,12,4.35333917199887,4.456763032919625,4.35333917199887
pilot,p05_random_01,90-100,4.145914,0.00012438,12,4.063485528820153,4.055227474283433,4.055227474283433
pilot,p05_random_01,100-110,4.145914,0.00012438,12,2.94342806973086,1.7210716024061086,1.7210716024061086
pilot,p05_random_01,110-120,4.145914,0.00012438,12,2.3839800438684318,2.331499419079766,2.331499419079766
pilot,p05_random_01,120-130,4.145914,0.00012438,12,1.6166916196705807,2.14406515220859,1.6166916196705807
pilot,p05_random_01,130-140,4.145914,0.00012438,12,1.036821925316765,1.2812262283099538,1.036821925316765
pilot,p05_random_01,140-150,4.145914,0.00012438,12,1.2301924509084528,0.9893307913760557,0.9893307913760557
pilot,p06_random_02,0-10,3.509066,0.000124874,12,340.324599654433,371.5755184011626,340.324599654433
pilot,p06_random_02,10-20,3.509066,0.000124874,12,120.77265710201542,115.61168665167257,115.61168665167257
pilot,p06_random_02,20-30,3.509066,0.000124874,12,38.44658824862213,42.38667497613157,38.44658824862213
pilot,p06_random_02,30-40,3.509066,0.000124874,12,26.006260084364094,23.83282937688242,23.83282937688242
pilot,p06_random_02,40-50,3.509066,0.000124874,12,19.577852176193552,16.99405528666608,16.99405528666608
pilot,p06_random_02,50-60,3.509066,0.000124874,12,15.87776063712381,11.93597989353944,11.93597989353944
pilot,p06_random_02,60-70,3.509066,0.000124874,12,13.071216288324585,8.087925787706194,8.087925787706194
pilot,p06_random_02,70-80,3.509066,0.000124874,12,10.311823186915731,5.946124339315134,5.946124339315134
pilot,p06_random_02,80-90,3.509066,0.000124874,12,3.6983032255235444,4.58159229229665,3.6983032255235444
pilot,p06_random_02,90-100,3.509066,0.000124874,12,3.416715362633673,4.272127451371277,3.416715362633673
pilot,p06_random_02,100-110,3.509066,0.000124874,12,2.6795853915130725,2.8714507757036087,2.6795853915130725
pilot,p06_random_02,110-120,3.509066,0.000124874,12,2.338140232229199,2.4594607153395143,2.338140232229199
pilot,p06_random_02,120-130,3.509066,0.000124874,12,1.3365466949326241,1.8709634715424899,1.3365466949326241
pilot,p06_random_02,130-140,3.509066,0.000124874,12,0.8139803266276441,1.6816659682225152,0.8139803266276441
pilot,p06_random_02,140-150,3.509066,0.000124874,12,0.9243047930741443,1.1850930038431648,0.9243047930741443
pilot,p07_random_03,0-10,4.689026,0.000207282,12,336.67359209568554,375.2136582543848,336.67359209568554
pilot,p07_random_03,10-20,4.689026,0.000207282,12,116.28826577649212,129.53931560370876,116.28826577649212
pilot,p07_random_03,20-30,4.689026,0.000207282,12,44.945175327637685,46.076509811509766,44.945175327637685
pilot,p07_random_03,30-40,4.689026,0.000207282,12,24.706472777167637,23.361187941162484,23.361187941162484
pilot,p07_random_03,40-50,4.689026,0.000207282,12,18.880419380338484,15.717471554021563,15.717471554021563
pilot,p07_random_03,50-60,4.689026,0.000207282,12,20.771291704804263,11.591426521254611,11.591426521254611
pilot,p07_random_03,60-70,4.689026,0.000207282,12,5.732094102134353,9.018641290634045,5.732094102134353
pilot,p07_random_03,70-80,4.689026,0.000207282,12,6.892627907949866,6.943741969328064,6.892627907949866
pilot,p07_random_03,80-90,4.689026,0.000207282,12,2.5676182026139163,5.035308840186211,2.5676182026139163
pilot,p07_random_03,90-100,4.689026,0.000207282,12,3.4347705659294214,2.335227224845155,2.335227224845155
pilot,p07_random_03,100-110,4.689026,0.000207282,12,1.586600104976392,1.4466799988947032,1.4466799988947032
pilot,p07_random_03,110-120,4.689026,0.000207282,12,1.1599036232436297,0.9720879048264981,0.9720879048264981
pilot,p07_random_03,120-130,4.689026,0.000207282,12,0.7380076750343589,0.8591476776810258,0.7380076750343589
pilot,p07_random_03,130-140,4.689026,0.000207282,12,0.8275616791784507,0.6939517588514824,0.6939517588514824
pilot,p07_random_03,140-150,4.689026,0.000207282,12,0.3599242348423523,0.4632693192528509,0.3599242348423523
pilot,p08_random01_stratf,0-10,4.145914,0.00012438,12,277.5857396680207,295.68174721291143,277.5857396680207
pilot,p08_random01_stratf,10-20,4.145914,0.00012438,12,103.36281693967311,109.62811486729399,103.36281693967311
pilot,p08_random01_stratf,20-30,4.145914,0.00012438,12,38.02266806857762,37.898479891884854,37.898479891884854
pilot,p08_random01_stratf,30-40,4.145914,0.00012438,12,23.424436325333307,25.08604083130024,23.424436325333307
