rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
14,fine,f18_wc2_eta0p0005,v0.61,2.0,0.0005,-17.1948749688398,1000000,3,75.0,0.00027995921802659437,0.001460336436349352,0.00018991364500091514,0.0001993131556325628,1.474139564986209,1.4046198663509395,1.4046198663509395,50685343,-0.001952967539373273,1.0024790959202559,8.117950756059145e-11,0.5281868838447341,0.9430794666610925
15,fine,f03_wc0p25_eta0p0005,v0.61,0.25,0.0005,-17.1948749688398,1000000,3,75.0,0.0002941544342076035,0.0015079371417607845,0.00022002623043832867,0.0001895785648930702,1.3369062116893935,1.5516228555349505,1.3369062116893935,55949746,-0.0023355283245385036,1.0035344750218904,8.118394845268995e-11,0.5278150495810866,0.920090904724085
16,fine,f23_wc4_eta0p0005,v0.61,4.0,0.0005,-17.1948749688398,1000000,3,75.0,0.000264810766896621,0.0014108731242277184,0.00016457161398083887,0.0001883647469574254,1.609091388794747,1.4058403771087489,1.4058403771087489,50597374,-0.002043228019142747,1.0034169811771363,8.116707306271564e-11,0.489281411802365,0.9180068646252398
17,fine,f27_wc10_eta0p0003,v0.61,10.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00014565347718909638,0.0007867342728259397,7.973343334523692e-05,6.221797424196797e-05,1.8267553657000193,2.341019278812336,1.8267553657000193,29966721,-0.0007468366405879696,1.000775804181776,6.763123394648574e-11,0.6294662393918977,0.8846732932867162
18,fine,f09_wc0p5_eta0p0007,v0.61,0.5,0.0007,-17.1948749688398,1000000,3,75.0,0.0004177775649914041,0.0020992380852935533,0.0003857220457333941,0.0003953693645726635,1.0831052298218038,1.0566766229926807,1.0566766229926807,89560354,-0.004545550413538742,1.0049614619044147,6.484413006546674e-11,0.42285322411809045,0.8666759664598295
19,fine,f14_wc1_eta0p0007,v0.61,1.0,0.0007,-17.1948749688398,1000000,3,75.0,0.0004115798715921651,0.0020798764656176916,0.00043684574226412836,0.00041525149471970216,0.9421629462587577,0.9911580736632497,0.9421629462587577,112654349,-0.0044569014691959,1.0080308673783849,6.52802256695395e-11,0.38972748925214273,0.7669996760671781
20,fine,f24_wc4_eta0p0007,v0.61,4.0,0.0007,-17.1948749688398,1000000,3,75.0,0.00037264247741571293,0.001973280521875509,0.00038080994115887514,0.0003665605111830641,0.9785523883165783,1.0165919842620783,0.9785523883165783,104431578,-0.004680213050614578,1.008411034825597,6.440448174771518e-11,0.3465378386468108,0.7580055006578597
21,fine,f04_wc0p25_eta0p0007,v0.61,0.25,0.0007,-17.1948749688398,1000000,3,75.0,0.000420115215469733,0.002109083096201836,0.00040470906895111636,0.0004566544892582307,1.0380672134640934,0.919984858031615,0.919984858031615,118151338,-0.003566998275384614,1.0101666448634417,6.359801574262747e-11,0.3525258258223322,0.7566708116581234
22,fine,f19_wc2_eta0p0007,v0.61,2.0,0.0007,-17.1948749688398,1000000,3,75.0,0.0003967078076613037,0.0020424837329346968,0.00044772662735166976,0.00043474584244196954,0.8860491724779795,0.9125051212289783,0.8860491724779795,127375046,-0.006142382217360604,1.009426170445575,6.401457142146683e-11,0.31801358152035647,0.7081663638696524
23,fine,f05_wc0p25_eta0p001,v0.61,0.25,0.001,-17.1948749688398,1000000,3,75.0,0.0006210346137998914,0.003008632223358898,0.0010270038524989255,0.0010754151658943262,0.6047052426227789,0.5774835928442879,0.5774835928442879,299861494,-0.013187057942269135,1.0205057489260607,5.24700283222046e-11,0.23157240907332594,0.5774835928442879
24,fine,f10_wc0p5_eta0p001,v0.61,0.5,0.001,-17.1948749688398,1000000,3,75.0,0.0006172066549821315,0.0029945808604193713,0.001047468279820561,0.0010675628503565282,0.5892366068477639,0.5781454972660451,0.5781454972660451,299175280,-0.013289798174037179,1.0176802841898411,5.2647664006144623e-11,0.23125663532003263,0.5763609445360384
25,fine,f15_wc1_eta0p001,v0.61,1.0,0.001,-17.1948749688398,1000000,3,75.0,0.0006059400530822024,0.0029669470820380406,0.0010146668600774153,0.0010432881810255909,0.5971812788248267,0.5807983490108561,0.5807983490108561,296448498,-0.012254098861592141,1.0163673457272537,5.368594457877407e-11,0.2298339088705363,0.5736966318901537
26,fine,f20_wc2_eta0p001,v0.61,2.0,0.001,-17.1948749688398,1000000,3,75.0,0.0005781390472097899,0.0029135794219130595,0.0011788936862627826,0.0010195450575093555,0.49040812920336496,0.5670559068984401,0.49040812920336496,415800186,-0.012181758265112017,1.0280213132571392,5.3447912762294436e-11,0.16545664935068516,0.47316859115696874
27,fine,f25_wc4_eta0p001,v0.61,4.0,0.001,-17.1948749688398,1000000,3,75.0,0.0005367355365119036,0.002814814978096658,0.001090020051867482,0.0007999487860751407,0.49240886494917124,0.6709623739106305,0.49240886494917124,412428126,-0.009916887262972261,1.0173312386791284,5.3297810609365115e-11,0.17164603606443946,0.4577708507778785
