rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
11,coarse,c16_wc2_eta0p001,v0.61,2.0,0.001,-17.1948749688398,500000,2,50.0,0.0005778050956928509,0.00291357942191528,0.0003206473125199016,0.000365784401204335,1.8019957540014884,1.579632958077063,1.579632958077063,20038151,-0.0022320881513574037,1.0045914055779828,5.3433701907579234e-11,0.7324293241145031,0.3809878978502497
12,coarse,ref_old_v060_wc4_eta0p00013758,v0.61,4.0,0.00013758,-17.1948749688398,500000,2,50.0,7.411803427479462e-05,0.0003889081823988949,1.9698677155404544e-05,1.894672320310056e-05,3.7625894211104187,3.911918355500411,3.7625894211104187,3531802,-6.876839485395944e-05,1.0000058550919373,6.655032080971068e-11,1.9817207285180136,0.3250222456563884
13,coarse,c02_wc0p5_eta0p0001,v0.61,0.5,0.0001,-17.1948749688398,500000,2,50.0,5.840644642115474e-05,0.0003007587380232657,1.4007831981141895e-05,1.557171815827521e-05,4.169556466681259,3.7508029510613805,3.7508029510613805,3554034,-6.798246757411288e-05,1.0000438865364827,6.647837835771497e-11,2.0108837688279464,0.28761991330294445
14,coarse,c08_wc1_eta0p0001,v0.61,1.0,0.0001,-17.1948749688398,500000,2,50.0,5.774792560869565e-05,0.0002979876516570057,1.5344253986875447e-05,1.4839038845485545e-05,3.763488642594795,3.8916217020527712,3.763488642594795,3530115,-9.545282228891776e-05,1.0000063528138217,6.622880022177924e-11,2.0477986695174737,0.28696115662848076
15,coarse,c26_wc7_eta0p0001,v0.61,7.0,0.0001,-17.1948749688398,500000,2,50.0,5.0872652802521603e-05,0.0002702244689029021,1.3260593105209609e-05,1.190345670751482e-05,3.8363783881231956,4.27377139704343,3.8363783881231956,3397248,-5.830879600352904e-05,1.0000047448277696,6.682565611981772e-11,2.2089516496753614,0.27455410309175193
16,coarse,c14_wc2_eta0p0001,v0.61,2.0,0.0001,-17.1948749688398,500000,2,50.0,5.640527478194776e-05,0.00029263571678495026,1.4145850875829141e-05,1.6049753696886127e-05,3.9874077054160684,3.5144012704002527,3.5144012704002527,4048250,-7.39765407002901e-05,1.0000821510348126,6.74189593041774e-11,1.888946052956316,0.2648350836286414
17,coarse,c34_wc10_eta0p001,v0.61,10.0,0.001,-17.1948749688398,500000,2,50.0,0.0004955565316208842,0.002613270360374176,0.0004183802395752261,0.000319340384735915,1.1844644769170118,1.5518129096972648,1.1844644769170118,35639034,-0.002792343955069379,1.006578802283858,5.3006488087703474e-11,0.5371311635080835,0.26456534312426344
18,coarse,c20_wc4_eta0p0001,v0.61,4.0,0.0001,-17.1948749688398,500000,2,50.0,5.3841953407454766e-05,0.0002827300667259669,1.6638399812996152e-05,1.3005090711283218e-05,3.236005506094351,4.140067501470134,3.236005506094351,4774760,-4.4380729467987234e-05,1.0000032008785231,6.618439130079423e-11,1.542467342795471,0.23825057971534716
19,coarse,c32_wc10_eta0p0001,v0.61,10.0,0.0001,-17.1948749688398,500000,2,50.0,4.934265751648449e-05,0.00026250741784195064,1.6240848644000017e-05,1.4885151693072712e-05,3.0381822156019864,3.314891143463973,3.0381822156019864,5416795,-0.00011496877458297247,1.0001083380352476,6.754330428293542e-11,1.4902848268614322,0.21413585681078015
20,coarse,c23_wc4_eta0p003,v0.61,4.0,0.003,-17.1948749688398,500000,2,50.0,0.0017114453648830728,0.008361660381744018,0.003558416881767841,0.0038824522520505347,0.48095695972328495,0.44081556031478947,0.44081556031478947,257309708,-0.037239315133088216,1.021943237096223,6.165024046822509e-11,0.20477242968712786,0.1829796304821177
21,coarse,c17_wc2_eta0p003,v0.61,2.0,0.003,-17.1948749688398,500000,2,50.0,0.0018700766846648793,0.008656013037849464,0.004565552150945277,0.0042856711551155155,0.4096058095136836,0.4363556178202556,0.4096058095136836,298014771,-0.06131767973894982,1.053205776744359,6.019629239517599e-11,0.21041853865558374,0.17772974825092008
22,coarse,c11_wc1_eta0p003,v0.61,1.0,0.003,-17.1948749688398,500000,2,50.0,0.0019467890535740638,0.008815107989451287,0.004997675073848971,0.005088979724884193,0.38953894056876726,0.382549972454128,0.382549972454128,341659621,-0.045693280748222535,1.0614516977614425,6.066791513603675e-11,0.2049493715199463,0.16936042429755005
23,coarse,c05_wc0p5_eta0p003,v0.61,0.5,0.003,-17.1948749688398,500000,2,50.0,0.001972976936630092,0.008897497043630742,0.0045492428038182795,0.005315676913956555,0.43369347861013907,0.371161936394206,0.371161936394206,362946942,-0.05307443159874411,1.1037993022638428,5.843858730258944e-11,0.19936788455007362,0.16542027798002745
24,coarse,c13_wc2_eta0p00003,v0.61,2.0,3e-05,-17.1948749688398,500000,2,50.0,1.6895498655753933e-05,8.782058374345869e-05,4.581428172454997e-06,4.800988022237176e-06,3.687823538811553,3.519171174245281,3.519171174245281,4037284,-2.9807805926378284e-05,1.000007139595577,7.648637279089598e-11,1.922758799867114,0.14514103273046602
25,coarse,c25_wc7_eta0p00003,v0.61,7.0,3e-05,-17.1948749688398,500000,2,50.0,1.5253633559485426e-05,8.109559882973905e-05,3.867604070094956e-06,4.2647294045369905e-06,3.9439490917463336,3.576694348592902,3.576694348592902,3908467,-2.8007566506048392e-05,1.0000116776378871,7.58717533244635e-11,1.842648536357754,0.14016280920311833
26,coarse,c01_wc0p5_eta0p00003,v0.61,0.5,3e-05,-17.1948749688398,500000,2,50.0,1.7495023205168663e-05,9.025802448592302e-05,5.4244317649226295e-06,4.9869839982771175e-06,3.2252268925753924,3.5081370245448493,3.2252268925753924,4806728,-2.7808714232018406e-05,1.0000380504912976,7.617462216558124e-11,1.6628860019367038,0.13535735023979378
27,coarse,c31_wc10_eta0p00003,v0.61,10.0,3e-05,-17.1948749688398,500000,2,50.0,1.4798148830942243e-05,7.877981898629649e-05,4.283619099259104e-06,3.6802760251661768e-06,3.4545902630562404,4.020934497779703,3.4545902630562404,4189643,-2.3738366110853214e-05,1.0000028348620933,7.598277562692601e-11,2.2029909078554444,0.1333412586512764
