stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
coarse,c05_wc0p5_eta0p003,10-20,0.5,0.003,0.002071687365146792,0.00014642562159401917,0.00016030653709604402,14.14839385753655,12.923286864500028,12.923286864500028
coarse,c05_wc0p5_eta0p003,20-30,0.5,0.003,0.0016555759071258888,0.0006947719074016912,0.0006133995960447429,2.3829056550622685,2.6990169504531707,2.3829056550622685
coarse,c05_wc0p5_eta0p003,30-40,0.5,0.003,0.002027701495290565,0.0024120988044215395,0.0024692570601548775,0.8406378261013403,0.8211787780262063,0.8211787780262063
coarse,c05_wc0p5_eta0p003,40-50,0.5,0.003,0.0022848578130013953,0.009705978044505376,0.011460510895010906,0.23540727194359046,0.19936788455007362,0.19936788455007362
coarse,c06_wc0p5_eta0p01,0-10,0.5,0.01,0.005861986457849946,0.00012211937606240337,7.849800870760097e-05,48.00209964104675,74.67688103637626,48.00209964104675
coarse,c06_wc0p5_eta0p01,10-20,0.5,0.01,0.007041785256455444,0.0014963406269199154,0.0009690976735465682,4.706004187663029,7.266331814299897,4.706004187663029
coarse,c06_wc0p5_eta0p01,20-30,0.5,0.01,0.007242943981812825,0.015310523764625064,0.015784409502108087,0.47306964106268085,0.4588669586179637,0.4588669586179637
coarse,c06_wc0p5_eta0p01,30-40,0.5,0.01,0.01104651678031126,0.5257020154703888,0.5504123984598444,0.02101288649317244,0.020069527523764827,0.020069527523764827
coarse,c06_wc0p5_eta0p01,40-50,0.5,0.01,0.01527176341346617,10.591776475444425,10.598423453723791,0.0014418509915566714,0.0014409467106261341,0.0014409467106261341
coarse,c07_wc1_eta0p00003,0-10,1.0,3e-05,1.785213266931254e-05,3.4549988857642417e-07,5.336653502482977e-07,51.67044407125378,33.451923871404624,33.451923871404624
coarse,c07_wc1_eta0p00003,10-20,1.0,3e-05,2.039224496062732e-05,1.83495684692484e-06,1.6681979526569909e-06,11.113201378442328,12.224115806009687,11.113201378442328
coarse,c07_wc1_eta0p00003,20-30,1.0,3e-05,1.5177587460551574e-05,3.1867933574805003e-06,3.297025104864055e-06,4.762651906790428,4.603418832983799,4.603418832983799
coarse,c07_wc1_eta0p00003,30-40,1.0,3e-05,1.6774419706583204e-05,6.3820560706090094e-06,6.3472803688213205e-06,2.628372349129565,2.642772767527549,2.628372349129565
coarse,c07_wc1_eta0p00003,40-50,1.0,3e-05,1.6148159886183166e-05,1.0049047359364253e-05,9.888320323634992e-06,1.6069343997205292,1.6330538815157465,1.6069343997205292
coarse,c08_wc1_eta0p0001,0-10,1.0,0.0001,5.9497188006146814e-05,1.340670755616888e-06,1.3635920063202045e-06,44.378672210814464,43.63269051914303,43.63269051914303
coarse,c08_wc1_eta0p0001,10-20,1.0,0.0001,6.79753504540894e-05,4.16137784129947e-06,4.467002142508438e-06,16.334818189175245,15.217219129408777,15.217219129408777
coarse,c08_wc1_eta0p0001,20-30,1.0,0.0001,5.065315650273111e-05,1.1953607429770937e-05,8.863179624812587e-06,4.237478669123548,5.715009584249757,4.237478669123548
coarse,c08_wc1_eta0p0001,30-40,1.0,0.0001,5.609487939413737e-05,1.7534949210858797e-05,1.661446947200613e-05,3.199032898219045,3.3762666625408744,3.199032898219045
coarse,c08_wc1_eta0p0001,40-50,1.0,0.0001,5.408607978749297e-05,2.605709443584846e-05,2.6411815083480526e-05,2.075675778842141,2.0477986695174737,2.0477986695174737
coarse,c09_wc1_eta0p0003,0-10,1.0,0.0003,0.00017840695759960835,2.1607426412096253e-06,2.5389697075293927e-06,82.56742575308863,70.2674620616926,70.2674620616926
coarse,c09_wc1_eta0p0003,10-20,1.0,0.0003,0.0002039391375873356,1.293709163010532e-05,1.1483723094369658e-05,15.763909185953208,17.758973802435616,15.763909185953208
