# time_au orbital_0 orbital_1 orbital_2 orbital_3 orbital_4 orbital_5 orbital_6 orbital_7 orbital_8 orbital_9
7.200000000000000000e+01 9.999995738267470902e-01 9.999999999955225816e-01 9.999999999915644144e-01 9.999999999859904287e-01 9.999999999794807470e-01 9.110887819470799919e-08 8.675737542808311710e-08 8.381193406356187694e-08 8.256589011749998459e-08 8.197627196980670293e-08
7.300000000000000000e+01 9.999995720790446629e-01 9.999999999956008523e-01 9.999999999916174831e-01 9.999999999859284783e-01 9.999999999792175132e-01 8.958843515157830378e-08 8.649252122341718393e-08 8.498855527226168905e-08 8.420454669293109122e-08 8.269418685005136133e-08
7.400000000000000000e+01 9.999995697784764825e-01 9.999999999956803443e-01 9.999999999916782123e-01 9.999999999858778521e-01 9.999999999789631611e-01 8.924080263907661246e-08 8.748478744057723967e-08 8.650184104089953664e-08 8.497172868630922054e-08 8.206981906914369478e-08
7.500000000000000000e+01 9.999995685041559446e-01 9.999999999957608354e-01 9.999999999917441595e-01 9.999999999858326660e-01 9.999999999787093641e-01 9.005704001731537493e-08 8.887138518803912638e-08 8.730869603479480341e-08 8.452210286953852680e-08 8.078423014245090856e-08
7.600000000000000000e+01 9.999995687752254447e-01 9.999999999958394392e-01 9.999999999918093296e-01 9.999999999857861477e-01 9.999999999784505711e-01 9.131513665699656376e-08 8.970533481398488694e-08 8.702324762163302688e-08 8.338730767043640409e-08 7.984151755464977621e-08
7.700000000000000000e+01 9.999995700047454861e-01 9.999999999959152674e-01 9.999999999918725013e-01 9.999999999857376309e-01 9.999999999781895577e-01 9.216164247278589204e-08 8.957065380290088996e-08 8.604126331997585150e-08 8.245220563337822211e-08 7.981743103688298532e-08
7.800000000000000000e+01 9.999995711690613520e-01 9.999999999959854335e-01 9.999999999919314542e-01 9.999999999856880040e-01 9.999999999779300985e-01 9.216169263694330852e-08 8.874168438040593107e-08 8.513129970336440264e-08 8.229619003535768197e-08 8.054819196400705149e-08
7.900000000000000000e+01 9.999995715712719502e-01 9.999999999960513808e-01 9.999999999919891858e-01 9.999999999856422628e-01 9.999999999776785220e-01 9.148335770246116264e-08 8.787432380400007726e-08 8.486360269520836325e-08 8.286769675840419116e-08 8.138804299733135429e-08
8.000000000000000000e+01 9.999995711852445179e-01 9.999999999961128871e-01 9.999999999920468063e-01 9.999999999856018507e-01 9.999999999774353832e-01 9.067471581812456786e-08 8.751745574739700253e-08 8.528095042104817833e-08 8.364404148029227905e-08 8.174605241862671085e-08
8.100000000000000000e+01 9.999995704785393791e-01 9.999999999961717290e-01 9.999999999921062033e-01 9.999999999855671007e-01 9.999999999771982395e-01 9.025240322321185523e-08 8.778982411444953419e-08 8.597721510375063239e-08 8.407283580055986075e-08 8.147779479798247756e-08
8.200000000000000000e+01 9.999995699760720891e-01 9.999999999962292385e-01 9.999999999921675986e-01 9.999999999855372357e-01 9.999999999769648706e-01 9.039285108790625352e-08 8.839314004617778230e-08 8.645029122964759250e-08 8.394365745853174395e-08 8.089274556855639672e-08
8.300000000000000000e+01 9.999995699174006880e-01 9.999999999962853048e-01 9.999999999922293270e-01 9.999999999855087029e-01 9.999999999767317238e-01 9.089484377424131198e-08 8.888449281235711415e-08 8.644464276101748189e-08 8.345673469072527769e-08 8.045078712714025930e-08
8.400000000000000000e+01 9.999995701968972250e-01 9.999999999963392616e-01 9.999999999922897231e-01 9.999999999854796151e-01 9.999999999764971337e-01 9.138033721944162626e-08 8.898301234292226872e-08 8.606402316530880252e-08 8.300552914880201771e-08 8.041925110231244558e-08
8.500000000000000000e+01 9.999995705381601319e-01 9.999999999963906649e-01 9.999999999923483429e-01 9.999999999854499722e-01 9.999999999762636538e-01 9.156095936347289404e-08 8.871090039456656894e-08 8.562953170220721343e-08 8.287713854438796193e-08 8.073251363093765621e-08
8.600000000000000000e+01 9.999995707190924010e-01 9.999999999964391817e-01 9.999999999924048533e-01 9.999999999854208843e-01 9.999999999760327274e-01 9.139359332610443913e-08 8.831527681364707978e-08 8.542817802818155333e-08 8.308623674985963624e-08 8.110698207366002375e-08
8.700000000000000000e+01 9.999995706893207714e-01 9.999999999964850339e-01 9.999999999924599203e-01 9.999999999853933508e-01 9.999999999758057978e-01 9.105383536282280387e-08 8.806647149247695016e-08 8.553703109797038520e-08 8.342387070168651200e-08 8.127898434118228137e-08
8.800000000000000000e+01 9.999995705414254088e-01 9.999999999965281106e-01 9.999999999925143213e-01 9.999999999853679267e-01 9.999999999755824209e-01 9.078267458036650936e-08 8.808542374562073333e-08 8.581960586958582814e-08 8.364268706461651001e-08 8.117784766121738565e-08
