#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  7.00000000 +2.0000000000000000e+00 +1.9999994632935185e+00 +2.3466611296428974e-03 +9.9869363778099618e-01 +9.9999966908250659e-01 +6.5722976960349937e-04 +6.4946341269904180e-04
  7.50000000 +2.0000000000000000e+00 +1.9999993862790331e+00 +2.3833890768465648e-03 +9.9859699872164620e-01 +9.9999957621461033e-01 +7.0672267073327807e-04 +6.9670239322045663e-04
  8.00000000 +2.0000000000000000e+00 +1.9999991921118798e+00 +2.4140959041549157e-03 +9.9851526836310089e-01 +9.9999946783169180e-01 +7.4877773841994883e-04 +7.3648621545092420e-04
  8.50000000 +2.0000000000000000e+00 +1.9999989088449577e+00 +2.4384645623480856e-03 +9.9844931612858701e-01 +9.9999934551922243e-01 +7.8312933142635167e-04 +7.6820902353290116e-04
  9.00000000 +2.0000000000000000e+00 +1.9999987012005371e+00 +2.4552614203464675e-03 +9.9840232187792188e-01 +9.9999921088836308e-01 +8.0786608175869819e-04 +7.9060111444516021e-04
  9.50000000 +2.0000000000000000e+00 +1.9999984494691596e+00 +2.4645847732578563e-03 +9.9837414652927647e-01 +9.9999906052910659e-01 +8.2326258152932085e-04 +8.0353032206479356e-04
 10.00000000 +2.0000000000000000e+00 +1.9999981430732932e+00 +2.4669150492511479e-03 +9.9836368067163894e-01 +9.9999890288515647e-01 +8.3005757038846913e-04 +8.0735891114219738e-04
 10.50000000 +2.0000000000000000e+00 +1.9999978997701071e+00 +2.4614233411955921e-03 +9.9837310826531644e-01 +9.9999873740942902e-01 +8.2678012317890929e-04 +8.0137431355352840e-04
 11.00000000 +2.0000000000000000e+00 +1.9999975610255099e+00 +2.4472489691611367e-03 +9.9840474645585064e-01 +9.9999855944025773e-01 +8.1242340566815689e-04 +7.8427065259162494e-04
 11.50000000 +2.0000000000000000e+00 +1.9999972216056889e+00 +2.4269774663149639e-03 +9.9845217716234780e-01 +9.9999837529738800e-01 +7.9099372815448672e-04 +7.5845392952518260e-04
 12.00000000 +2.0000000000000000e+00 +1.9999968432666519e+00 +2.4003396892016667e-03 +9.9851616490385087e-01 +9.9999818714596445e-01 +7.5958300113294528e-04 +7.2606493757038429e-04
 12.50000000 +2.0000000000000000e+00 +1.9999964907150023e+00 +2.3683517559796446e-03 +9.9859432527842129e-01 +9.9999800869987299e-01 +7.2184492184343906e-04 +6.8582095076836450e-04
 13.00000000 +2.0000000000000000e+00 +1.9999961705523825e+00 +2.3320984683587961e-03 +9.9868398441391959e-01 +9.9999781357829975e-01 +6.7608400169320577e-04 +6.4211786514675837e-04
 13.50000000 +2.0000000000000000e+00 +1.9999957311957359e+00 +2.2907224077709574e-03 +9.9878744449726420e-01 +9.9999763035301414e-01 +6.2647106461508984e-04 +5.8845422597519350e-04
 14.00000000 +2.0000000000000000e+00 +1.9999955295665983e+00 +2.2480953551175637e-03 +9.9889498856198755e-01 +9.9999746128907707e-01 +5.7432384356063135e-04 +5.3322620385144411e-04
 14.50000000 +2.0000000000000000e+00 +1.9999953172272842e+00 +2.2043301967783072e-03 +9.9900629587357859e-01 +9.9999729719131780e-01 +5.1898840118055737e-04 +4.7741863388576480e-04
 15.00000000 +2.0000000000000000e+00 +1.9999951387787445e+00 +2.1578940755329606e-03 +9.9912538017410546e-01 +9.9999714129153505e-01 +4.5903405829771668e-04 +4.1844448583571592e-04
 15.50000000 +2.0000000000000000e+00 +1.9999950512569256e+00 +2.1163997872504538e-03 +9.9923291672651338e-01 +9.9999698623024580e-01 +4.0487578565444972e-04 +3.6522136443585773e-04
 16.00000000 +2.0000000000000000e+00 +1.9999947783120224e+00 +2.0743006019540225e-03 +9.9934301721993712e-01 +9.9999682625925512e-01 +3.4851835762605976e-04 +3.1163826869812038e-04
 16.50000000 +2.0000000000000000e+00 +1.9999947240507929e+00 +2.0393173311271848e-03 +9.9943588105969872e-01 +9.9999674501633451e-01 +3.0064101029215394e-04 +2.6673280681805463e-04
 17.00000000 +2.0000000000000000e+00 +1.9999947913606331e+00 +2.0031565460565549e-03 +9.9953278617714902e-01 +9.9999662433047343e-01 +2.4936154780081239e-04 +2.2122794362076912e-04
 17.50000000 +2.0000000000000000e+00 +1.9999951808376730e+00 +1.9744641798443742e-03 +9.9961157189946737e-01 +9.9999650764660941e-01 +2.0841378575214863e-04 +1.8350671815586464e-04
 18.00000000 +2.0000000000000000e+00 +1.9999954877372401e+00 +1.9520188364494935e-03 +9.9967497834971375e-01 +9.9999642340696049e-01 +1.7578524915077393e-04 +1.5281285327788563e-04
 18.50000000 +2.0000000000000000e+00 +1.9999956791225344e+00 +1.9357344154747294e-03 +9.9972335969656212e-01 +9.9999636653047808e-01 +1.4962155408725653e-04 +1.3065222153200044e-04
 19.00000000 +2.0000000000000000e+00 +1.9999960801973884e+00 +1.9243015164025377e-03 +9.9975995126965855e-01 +9.9999630742216183e-01 +1.3046156100337433e-04 +1.1327983845403352e-04
 19.50000000 +2.0000000000000000e+00 +1.9999963085960188e+00 +1.9200307449707766e-03 +9.9977830533134071e-01 +9.9999622051876969e-01 +1.1739076376891087e-04 +1.0808337662852312e-04
 20.00000000 +2.0000000000000000e+00 +1.9999965875399710e+00 +1.9230198915732592e-03 +9.9977828475513597e-01 +9.9999615132284225e-01 +1.1427929041048928e-04 +1.1128454551081787e-04
 20.50000000 +2.0000000000000000e+00 +1.9999972931611742e+00 +1.9337383277844330e-03 +9.9975847243673333e-01 +9.9999613079433480e-01 +1.2145587710407156e-04 +1.2394080680110841e-04
 21.00000000 +2.0000000000000000e+00 +1.9999974537061407e+00 +1.9483198543385847e-03 +9.9972831540831375e-01 +9.9999605555784843e-01 +1.3438121792266330e-04 +1.4124785454821965e-04
 21.50000000 +2.0000000000000000e+00 +1.9999978112816834e+00 +1.9668205017510342e-03 +9.9968782023166769e-01 +9.9999592274356286e-01 +1.5208124119816144e-04 +1.6417587595421863e-04
 22.00000000 +2.0000000000000000e+00 +1.9999982132077825e+00 +1.9966415300722135e-03 +9.9961776206332686e-01 +9.9999591337638194e-01 +1.8544890528171131e-04 +2.0087564201050006e-04
 22.50000000 +2.0000000000000000e+00 +1.9999978477856295e+00 +2.0234937849417634e-03 +9.9955424010227256e-01 +9.9999574313792305e-01 +2.1779713702648482e-04 +2.3221949367234105e-04
 23.00000000 +2.0000000000000000e+00 +1.9999985234695088e+00 +2.0562194877253108e-03 +9.9947501466136901e-01 +9.9999578222385566e-01 +2.5401213425953076e-04 +2.7519107020883716e-04
 23.50000000 +2.0000000000000000e+00 +1.9999990883719125e+00 +2.0933372041346322e-03 +9.9938312798642848e-01 +9.9999548254976578e-01 +3.0184605241050246e-04 +3.1954350219425497e-04
 24.00000000 +2.0000000000000000e+00 +1.9999983646309909e+00 +2.1301482388868557e-03 +9.9929103028044219e-01 +9.9999543939736302e-01 +3.4828260498893275e-04 +3.6524771695645142e-04
 24.50000000 +2.0000000000000000e+00 +1.9999984835784339e+00 +2.1655403313260197e-03 +9.9920112969165920e-01 +9.9999527855126680e-01 +3.9291970423970565e-04 +4.1067197768410066e-04
 25.00000000 +2.0000000000000000e+00 +1.9999980290402515e+00 +2.2020418590073150e-03 +9.9910718993357595e-01 +9.9999508728507314e-01 +4.3741822129704288e-04 +4.6030467350702221e-04
 25.50000000 +2.0000000000000000e+00 +1.9999971952595166e+00 +2.2366115578707421e-03 +9.9901661094860528e-01 +9.9999479423388904e-01 +4.8296711419642738e-04 +5.0562766093015775e-04
 26.00000000 +2.0000000000000000e+00 +1.9999968994957558e+00 +2.2696294722826917e-03 +9.9892878679839514e-01 +9.9999445104278128e-01 +5.2933483689737140e-04 +5.4742737294187971e-04
 26.50000000 +2.0000000000000000e+00 +1.9999960219816300e+00 +2.2955993687886127e-03 +9.9885807977969621e-01 +9.9999429947247553e-01 +5.6582987992661584e-04 +5.8179085507459240e-04
 27.00000000 +2.0000000000000000e+00 +1.9999948138634982e+00 +2.3220867193250909e-03 +9.9878440602417295e-01 +9.9999385839163601e-01 +6.0839701260762945e-04 +6.1333865273030617e-04
 27.50000000 +2.0000000000000000e+00 +1.9999937355302926e+00 +2.3447721823948234e-03 +9.9872003757134509e-01 +9.9999361634600181e-01 +6.3754751244330526e-04 +6.4879865030835905e-04
 28.00000000 +2.0000000000000000e+00 +1.9999921841730914e+00 +2.3652396862431750e-03 +9.9866031064223115e-01 +9.9999316465350607e-01 +6.6979398513754187e-04 +6.7673067615896287e-04
 28.50000000 +2.0000000000000000e+00 +1.9999907489823749e+00 +2.3744843663661593e-03 +9.9862862119734253e-01 +9.9999284939786715e-01 +6.8697061011487699e-04 +6.9155878358307602e-04
 29.00000000 +2.0000000000000000e+00 +1.9999902880846356e+00 +2.3847642567347582e-03 +9.9859442588047753e-01 +9.9999236902117372e-01 +7.0858742082829007e-04 +7.0461767386243931e-04
 29.50000000 +2.0000000000000000e+00 +1.9999889818106713e+00 +2.3843198162909044e-03 +9.9858680655493703e-01 +9.9999189701545044e-01 +7.1473280066768237e-04 +7.0656374525198177e-04
 30.00000000 +2.0000000000000000e+00 +1.9999862475426726e+00 +2.3872318735629738e-03 +9.9857080248906949e-01 +9.9999153918324024e-01 +7.3199965750647830e-04 +7.0565873155512481e-04
 30.50000000 +2.0000000000000000e+00 +1.9999849000892149e+00 +2.3756624383030815e-03 +9.9859237315812766e-01 +9.9999133604742441e-01 +7.1906130523155260e-04 +6.9722954909142364e-04
 31.00000000 +2.0000000000000000e+00 +1.9999839241187309e+00 +2.3680201546953808e-03 +9.9860409759351598e-01 +9.9999082274653128e-01 +7.1590057029961688e-04 +6.8917901800301872e-04
 31.50000000 +2.0000000000000000e+00 +1.9999825457804066e+00 +2.3533610145373791e-03 +9.9863465061108636e-01 +9.9999021944521604e-01 +7.0324029186617581e-04 +6.7188960699418284e-04
 32.00000000 +2.0000000000000000e+00 +1.9999804108005137e+00 +2.3360374909272702e-03 +9.9867222413758072e-01 +9.9998967092439139e-01 +6.8670635267239458e-04 +6.5139865441234395e-04
