source_stage,model_branch,source_file,search_round,selection_rank,selection_status,case_id,wc_eV,eta,band_class,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,bottleneck_window,passes_required_interval,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50,Q_50_60,Q_60_70,Q_70_80,Q_80_90,Q_90_100,Q_100_110,Q_110_120,Q_120_130,Q_130_140,Q_140_150
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.50_eta8.0E-5,0.5,8e-05,ultranarrow,1000000,3,60.0,60.0,3.017358864500685,50-60,False,0 5 6 7 8 9,1 2 3 4,5.57273999694598e-06,5.9126667183497064e-05,0.0004390807687808185,0.000643786594745676,4.804777059512451e-05,9.2192919964873e-12,75.2923887512952,22.661840702590922,10.978235191633795,5.573846309826861,3.916265718346963,3.017358864500685,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.25_eta2.0E-4,0.25,0.0002,ultranarrow,1000000,3,60.0,60.0,3.007818645558204,50-60,False,0 5 6 7 8 9,1 2 3 4,3.8115741252390675e-05,0.00017073381642528302,0.001407814139150711,0.002179061848464177,0.00018242504032413783,8.335554468885675e-12,71.26127650303621,28.01184455765668,10.53648123486919,6.24703273927564,3.8884060052303653,3.007818645558204,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.50_eta1.6E-4,0.5,0.00016,ultranarrow,1000000,3,60.0,60.0,2.9763752441950033,50-60,False,0 5 6 7 8 9,1 2 3 4,2.3362249553262567e-05,0.00012944711809729123,0.0010247894034997615,0.0015924751604701522,0.00013109705100056986,8.379963389870682e-12,91.39543246632323,27.630578198754545,10.197627323986833,6.735473764388763,4.076540513189932,2.9763752441950033,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.25_eta1.2E-4,0.25,0.00012,ultranarrow,1000000,3,60.0,60.0,2.949101521098453,50-60,False,0 5 6 7 8 9,1 2 3 4,1.2998697612171334e-05,9.491980715497341e-05,0.0007279777178467715,0.0011070317348512327,8.358171686589492e-05,9.174883075502294e-12,103.62391636252349,22.71141663273923,9.857887782912744,6.725168794464978,4.074813838116023,2.949101521098453,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.25_eta1.6E-4,0.25,0.00016,ultranarrow,1000000,3,60.0,60.0,2.939173632091607,50-60,False,0 5 6 7 8 9,1 2 3 4,2.255044984683202e-05,0.0001314214779630959,0.0010359407351564177,0.00157573640253122,0.00014128223959540778,8.342659896243276e-12,96.23669792237027,27.874782698000736,11.768582265156818,6.5556994890538,4.041409359846683,2.939173632091607,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.00_eta1.2E-4,1.0,0.00012,narrow,1000000,3,60.0,60.0,2.877721124556084,50-60,False,0 5 6 7 8 9,1 2 3 4,1.2825726078264204e-05,8.943048562950123e-05,0.0006947572113513872,0.0010686719435654272,7.998005134286159e-05,9.2175156396479e-12,91.9295367317223,22.83834205192989,11.720144277550878,5.374975544328216,3.596862122941486,2.877721124556084,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.25_eta8.0E-5,1.25,8e-05,narrow,1000000,3,60.0,60.0,2.877546014683223,50-60,False,0 5 6 7 8 9,1 2 3 4,4.991635231834516e-06,5.6609563964378845e-05,0.00042470479289823733,0.0006170941979354464,5.036301208228976e-05,9.198863892834197e-12,90.40510828283743,18.463452941637037,9.246231925192957,4.710763143343195,3.410158823852251,2.877546014683223,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.25_eta1.6E-4,1.25,0.00016,narrow,1000000,3,60.0,60.0,2.8700734181763536,50-60,False,0 5 6 7 8 9,1 2 3 4,2.1572357115053142e-05,0.0001229851920937037,0.0009757843249860181,0.001526220114730359,0.00011314865936326738,8.340883539403876e-12,90.96652607738189,25.001470827286614,12.369815224455166,4.854074247440311,4.118455537155892,2.8700734181763536,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.00_eta2.0E-4,1.0,0.0002,narrow,1000000,3,60.0,60.0,2.8503192554748873,50-60,False,0 5 6 7 8 9,1 2 3 4,3.696683110702981e-05,0.00016182833696425797,0.0013342524988990585,0.002217440712255182,0.00019566966420613452,8.404832385622285e-12,105.13308633465357,26.293991926145114,11.351955257076654,5.592204430196825,3.898513093861824,2.8503192554748873,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.75_eta1.2E-4,0.75,0.00012,ultranarrow,1000000,3,60.0,60.0,2.833340772948645,50-60,False,0 5 6 7 8 9,1 2 3 4,1.2977433734407932e-05,9.109287882342778e-05,0.0007000053488878135,0.0010157292714669652,8.388578964063958e-05,9.212186569129699e-12,76.6429539234462,18.602700427327846,9.799983106070957,6.154943278147403,3.699145282587866,2.833340772948645,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.50_eta1.2E-4,0.5,0.00012,ultranarrow,1000000,3,60.0,60.0,2.74463681587013,50-60,False,0 5 6 7 8 9,1 2 3 4,1.2129643716854692e-05,9.304576781153426e-05,0.000710296507984497,0.0010787129992111183,7.912607792375717e-05,9.162448577626492e-12,95.61220086505631,22.187041903532293,10.104391373207722,6.186128360599511,4.199574464204743,2.74463681587013,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.00_eta1.6E-4,1.0,0.00016,narrow,1000000,3,60.0,60.0,2.681368157545052,50-60,False,0 5 6 7 8 9,1 2 3 4,2.176995659866146e-05,0.00012457232634953175,0.000993561540663458,0.0014829274041540492,0.00013823872539063195,8.378187033031281e-12,96.92613636010277,24.737929533274897,11.487395712989322,6.624693298362178,3.8745655447228637,2.681368157545052,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.00_eta8.0E-5,1.0,8e-05,narrow,1000000,3,60.0,60.0,2.6528789176933008,50-60,False,0 5 6 7 8 9,1 2 3 4,5.274637634813246e-06,5.741638509577719e-05,0.00042473672323359475,0.0006265398490502218,5.15935141850061e-05,9.2148511043888e-12,86.1129881687628,20.767431067671215,9.101631917749122,4.373709711174732,4.12659977454986,2.6528789176933008,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.50_eta2.0E-4,0.5,0.0002,ultranarrow,1000000,3,60.0,60.0,2.599095486894563,50-60,False,0 5 6 7 8 9,1 2 3 4,3.51094080911491e-05,0.00016656841683491963,0.0013678596445272897,0.0020854211779072966,0.0001883614117130159,8.36486435673578e-12,83.85435267210127,26.788768327566252,10.57309021984125,5.95708237349791,4.127495957896309,2.599095486894563,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.75_eta2.0E-4,0.75,0.0002,ultranarrow,1000000,3,60.0,60.0,2.540286702520094,50-60,False,0 5 6 7 8 9,1 2 3 4,3.477787580113161e-05,0.00016485205919374165,0.0013394099963233803,0.00222080569863538,0.0001758221045672376,8.363087999896379e-12,63.79860445991052,24.60913783542627,11.284535955333753,6.612601496823682,3.363726706779959,2.540286702520094,,,,,,,,,
