label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
n50k-b32,active,100,150,50000,32,70.0,0.2966245249128933,2.1226221403759675e-05,7.155922596081009e-05,10.0,1136.5430451103043,56827152.25551522,79558.0131577213
n50k-b32,all,150,200,50000,32,70.0,0.1697683899944543,1.6444216549806218e-05,9.686265240745577e-05,10.0,3469.6553710210246,173482768.55105123,242875.87597147172
n50k-b32,active,150,200,50000,32,70.0,0.1702342586921545,2.122891743598501e-05,0.00012470414356709845,10.0,3450.6910087416463,172534550.43708232,241548.37061191525
n200k-b8,all,0,50,200000,8,72.0,1.9795896840997484,1.7958460735388406e-05,9.071809617736676e-06,10.0,25.518176445618916,5103635.289123783,1837.308704084562
n200k-b8,active,0,50,200000,8,72.0,1.9798664183679626,2.3184233245814194e-05,1.1709998730583728e-05,10.0,25.511043378161652,5102208.675632331,1836.795123227639
n200k-b8,all,50,100,200000,8,72.0,0.5210954680971851,1.6435552239191667e-05,3.154038606247562e-05,10.0,368.26920785242015,73653841.57048403,26515.38296537425
n200k-b8,active,50,100,200000,8,72.0,0.5212576951981601,2.121799660821531e-05,4.070538776439382e-05,10.0,368.0400162268629,73608003.24537258,26498.88116833413
n200k-b8,all,100,150,200000,8,72.0,0.26215513469851376,1.6442046733492177e-05,6.271876670430668e-05,10.0,1455.0679107258484,291013582.1451697,104764.88957226108
n200k-b8,active,100,150,200000,8,72.0,0.26237748772725333,2.1226221403759675e-05,8.08995527307768e-05,10.0,1452.6027475172455,290520549.5034491,104587.39782124167
n200k-b8,all,150,200,200000,8,72.0,0.15870353719382763,1.6444216549806218e-05,0.0001036159422818824,10.0,3970.3316620605415,794066332.4121083,285863.879668359
n200k-b8,active,150,200,200000,8,72.0,0.15903162612302102,2.122891743598501e-05,0.000133488652248095,10.0,3953.96663815375,790793327.63075,284685.59794707
n400k-b4,all,0,50,400000,4,74.0,1.9794820631297618,1.7958460735388406e-05,9.072302836123839e-06,10.0,25.52095127809458,10208380.511237832,1888.5503945789987
n400k-b4,active,0,50,400000,4,74.0,1.9798425598507448,2.3184233245814194e-05,1.171013984443389e-05,10.0,25.511658234461233,10204663.293784494,1887.8627093501314
n400k-b4,all,50,100,400000,4,74.0,0.582285070017784,1.6435552239191667e-05,2.8225955095653917e-05,10.0,294.93661424065675,117974645.6962627,21825.3094538086
n400k-b4,active,50,100,400000,4,74.0,0.582540575588691,2.121799660821531e-05,3.642320809460061e-05,10.0,294.67794926537323,117871179.7061493,21806.16824563762
n400k-b4,all,100,150,400000,4,74.0,0.2714031272702377,1.6442046733492177e-05,6.0581640671814125e-05,10.0,1357.5952346883062,543038093.8753225,100462.04736693465
n400k-b4,active,100,150,400000,4,74.0,0.2716854872219647,2.1226221403759675e-05,7.812791776550814e-05,10.0,1354.7748313380973,541909932.535239,100253.3375190192
n400k-b4,all,150,200,400000,4,74.0,0.2070229173859529,1.6444216549806218e-05,7.943186559944597e-05,10.0,2333.2600824923597,933304032.996944,172661.24610443463
n400k-b4,active,150,200,400000,4,74.0,0.20771805940941748,2.122891743598501e-05,0.00010220063434225661,10.0,2317.6693999708755,927067759.9883502,171507.53559784478
n800k-b2,all,0,50,800000,2,76.0,2.1648825750517378,1.7958460735388406e-05,8.295350954524276e-06,10.0,21.33689943471147,17069519.547769174,1621.6043570380716
n800k-b2,active,0,50,800000,2,76.0,2.165253362218576,2.3184233245814194e-05,1.0707399720677037e-05,10.0,21.32959241814375,17063673.934515,1621.049023778925
n800k-b2,all,50,100,800000,2,76.0,0.5657852707765223,1.6435552239191667e-05,2.9049098815588452e-05,10.0,312.38971410357163,249911771.2828573,23741.618271871444
n800k-b2,active,50,100,800000,2,76.0,0.5660270563957878,2.121799660821531e-05,3.748583458770012e-05,10.0,312.12288866637914,249698310.93310332,23721.339538644814
n800k-b2,all,100,150,800000,2,76.0,0.26117450123996067,1.6442046733492177e-05,6.295425723197087e-05,10.0,1466.015128343984,1172812102.6751873,111417.1497541428
n800k-b2,active,100,150,800000,2,76.0,0.2614169306992164,2.1226221403759675e-05,8.119681210771442e-05,10.0,1463.297320753589,1170637856.6028712,111210.59637727277
n800k-b2,all,150,200,800000,2,76.0,0.19237703315501098,1.6444216549806218e-05,8.547910465256015e-05,10.0,2702.051078582305,2161640862.865844,205355.88197225516
n800k-b2,active,150,200,800000,2,76.0,0.1929223419774012,2.122891743598501e-05,0.00011003866746792733,10.0,2686.797584690602,2149438067.7524815,204196.61643648575
