stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
confirm,s18_wc5_eta0p0002,0-10,5.0,0.0002,0.00011354378549456983,4.677101364392352e-07,5.127280967923675e-07,242.76528697667302,221.45028954898507,221.45028954898507
confirm,s18_wc5_eta0p0002,10-20,5.0,0.0002,0.00011971777998507701,1.4629884361935091e-06,1.7626210462348955e-06,81.83098172434356,67.92031687174284,67.92031687174284
confirm,s18_wc5_eta0p0002,20-30,5.0,0.0002,9.465829610064555e-05,4.21741725225374e-06,3.894915119062148e-06,22.444612529163727,24.303044663894553,22.444612529163727
confirm,s18_wc5_eta0p0002,30-40,5.0,0.0002,0.00010262172661681689,7.097973289106862e-06,6.174237243184261e-06,14.457891349677054,16.620956172375948,14.457891349677054
confirm,s18_wc5_eta0p0002,40-50,5.0,0.0002,9.754603951855079e-05,9.586534976592027e-06,1.0730340517225698e-05,10.175317751067967,9.09067511529178,9.09067511529178
confirm,s18_wc5_eta0p0002,50-60,5.0,0.0002,9.756584784888963e-05,1.2162117723065364e-05,1.4771266774949897e-05,8.022110134969072,6.605110403553764,6.605110403553764
confirm,s18_wc5_eta0p0002,60-70,5.0,0.0002,9.787527745446399e-05,2.432087465881529e-05,1.6683364781878656e-05,4.024332135562745,5.866638938493713,4.024332135562745
confirm,s18_wc5_eta0p0002,70-80,5.0,0.0002,9.785402907999036e-05,3.198470415878664e-05,2.7712843170209168e-05,3.0594007871449547,3.5309992727553037,3.0594007871449547
confirm,s18_wc5_eta0p0002,80-90,5.0,0.0002,9.779797111698693e-05,4.20405791756805e-05,5.4632137513399025e-05,2.3262755422161447,1.7901179702698085,1.7901179702698085
confirm,s18_wc5_eta0p0002,90-100,5.0,0.0002,9.785068395456252e-05,6.148241150841967e-05,4.938387540280518e-05,1.5915231942579613,1.9814298322363793,1.5915231942579613
confirm,s17_wc5_eta0p00017,0-10,5.0,0.00017,9.651638925566622e-05,3.2973593598075426e-07,3.271351598727795e-07,292.7081301241597,295.0352059167249,292.7081301241597
confirm,s17_wc5_eta0p00017,10-20,5.0,0.00017,0.00010175139824544797,1.5542149970740715e-06,1.6322503860444617e-06,65.46803269625036,62.33810640537126,62.33810640537126
confirm,s17_wc5_eta0p00017,20-30,5.0,0.00017,8.041225662542953e-05,4.011369172790815e-06,3.462240561725587e-06,20.046087298787462,23.22549666663021,20.046087298787462
confirm,s17_wc5_eta0p00017,30-40,5.0,0.00017,8.716783125489181e-05,4.635280912199535e-06,6.1572916701423e-06,18.8052963576546,14.156846211717188,14.156846211717188
confirm,s17_wc5_eta0p00017,40-50,5.0,0.00017,8.285229814255928e-05,7.07407221346168e-06,5.684482643420079e-06,11.712108053533102,14.575169516695198,11.712108053533102
confirm,s17_wc5_eta0p00017,50-60,5.0,0.00017,8.286501874298652e-05,1.1621761823471275e-05,9.528105236061772e-06,7.130159781422519,8.696904231217005,7.130159781422519
confirm,s17_wc5_eta0p00017,60-70,5.0,0.00017,8.312394561654943e-05,1.3552775743236036e-05,1.6367795909708295e-05,6.133352103758908,5.078505748427972,5.078505748427972
confirm,s17_wc5_eta0p00017,70-80,5.0,0.00017,8.310413385329517e-05,2.7678022945923104e-05,1.8723606851788635e-05,3.0025314313693126,4.438468213476527,3.0025314313693126
confirm,s17_wc5_eta0p00017,80-90,5.0,0.00017,8.305336363377694e-05,2.255865829898701e-05,3.123202129554948e-05,3.681662381379589,2.659237544949162,2.659237544949162
confirm,s17_wc5_eta0p00017,90-100,5.0,0.00017,8.309537226401474e-05,4.934477152212789e-05,4.935898952278797e-05,1.683975215626481,1.6834901416620658,1.6834901416620658
confirm,s12_wc4_eta0p00017,0-10,4.0,0.00017,9.759668550529899e-05,3.8680780805493935e-07,4.5061170773940575e-07,252.31312158889273,216.58710554795513,216.58710554795513
confirm,s12_wc4_eta0p00017,10-20,4.0,0.00017,0.00010515647295146091,1.484018841180124e-06,1.5707750659425534e-06,70.85925733115234,66.94559598726576,66.94559598726576
confirm,s12_wc4_eta0p00017,20-30,4.0,0.00017,8.126325069186977e-05,3.9310873852990575e-06,3.139551666847701e-06,20.671952242976573,25.88371185286559,20.671952242976573
confirm,s12_wc4_eta0p00017,30-40,4.0,0.00017,9.014658857172169e-05,6.406818904385065e-06,5.354302283332819e-06,14.070413089095123,16.83629048220441,14.070413089095123
confirm,s12_wc4_eta0p00017,40-50,4.0,0.00017,8.383226817493894e-05,9.471051449584234e-06,9.760091536074528e-06,8.851421473232422,8.589291182883308,8.589291182883308
confirm,s12_wc4_eta0p00017,50-60,4.0,0.00017,8.436065089003528e-05,1.0440368528187e-05,1.2253689679841133e-05,8.080236886492814,6.884510142999558,6.884510142999558
confirm,s12_wc4_eta0p00017,60-70,4.0,0.00017,8.453212295931338e-05,1.8328067620535742e-05,1.995370001989504e-05,4.61216778055746,4.2364134408670955,4.2364134408670955
confirm,s12_wc4_eta0p00017,70-80,4.0,0.00017,8.44983915653242e-05,1.771392441842678e-05,1.7547808760806457e-05,4.77016778266398,4.815324392755739,4.77016778266398
confirm,s12_wc4_eta0p00017,80-90,4.0,0.00017,8.44576365595353e-05,3.471508469270276e-05,3.20732935402999e-05,2.4328800378035265,2.6332698403241563,2.4328800378035265
confirm,s12_wc4_eta0p00017,90-100,4.0,0.00017,8.450808200172114e-05,3.2444978211123536e-05,4.813948063138788e-05,2.6046583064971247,1.7554838750507877,1.7554838750507877
confirm,s24_wc6_eta0p00023,0-10,6.0,0.00023,0.00012914554561027912,6.803877545341504e-07,6.919105241942034e-07,189.8116842192476,186.65064498141805,186.65064498141805
confirm,s24_wc6_eta0p00023,10-20,6.0,0.00023,0.00013332811351799264,2.4534353080419873e-06,1.919229332908826e-06,54.34343961748793,69.4696101356046,54.34343961748793
confirm,s24_wc6_eta0p00023,20-30,6.0,0.00023,0.00010799327563977063,4.842143172101203e-06,4.116988927025152e-06,22.302784490551932,26.231130943994128,22.302784490551932
confirm,s24_wc6_eta0p00023,30-40,6.0,0.00023,0.00011432914448555766,7.3230064685311915e-06,7.65139264293836e-06,15.612323296020408,14.94226604500222,14.94226604500222
confirm,s24_wc6_eta0p00023,40-50,6.0,0.00023,0.0001115404561772443,8.177336398824988e-06,9.893672538012177e-06,13.640194158243471,11.273918329993046,11.273918329993046
confirm,s24_wc6_eta0p00023,50-60,6.0,0.00023,0.00011037398744510705,1.8930265422685112e-05,1.5031583544668604e-05,5.830556781989977,7.3428050422707765,5.830556781989977
confirm,s24_wc6_eta0p00023,60-70,6.0,0.00023,0.00011108284978877002,3.5921937960292616e-05,3.223077343271791e-05,3.0923401157130987,3.4464841503309462,3.0923401157130987
confirm,s24_wc6_eta0p00023,70-80,6.0,0.00023,0.00011095475754936809,4.3446914760131396e-05,2.810007623524072e-05,2.553800613045706,3.9485571718918715,2.553800613045706
confirm,s24_wc6_eta0p00023,80-90,6.0,0.00023,0.00011094465689989632,5.570246398160361e-05,4.510358844638503e-05,1.991736971214363,2.4597745040126258,1.991736971214363
confirm,s24_wc6_eta0p00023,90-100,6.0,0.00023,0.00011096930797902103,6.142662546403913e-05,6.546269351985049e-05,1.8065343349194005,1.6951534074193173,1.6951534074193173
