rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
21,screen,s08_wc3_eta0p0002,v0.61,3.0,0.0002,-17.1948749688398,2000000,3,75.0,0.00010756050583924298,0.0005748090195405453,3.146330370024312e-05,2.4288478222673167e-05,3.418601773799483,4.428458006020147,3.418601773799483,11.09706560811164,2.2723518863515046,5.773383869038756,17113269,-0.0002748447598936263,1.0002086339548113,1.3358469885815794e-10,1.6742809087657187,2.957765897244296
22,screen,s05_wc2_eta0p00026,v0.61,2.0,0.00026,-17.1948749688398,2000000,3,75.0,0.00014368858523413708,0.0007602614323407586,4.832749926307958e-05,4.8809489818077726e-05,2.973226163678406,2.943865747617765,2.943865747617765,14.008250493526731,1.9409865901413768,5.459796936235775,23077779,-0.0003513855853256541,1.0004236698732019,1.0488676593922719e-10,1.2273440380443579,2.943865747617765
23,screen,s28_wc8_eta0p0002,v0.61,8.0,0.0002,-17.1948749688398,2000000,3,75.0,9.837931144468718e-05,0.000533515617746616,2.765489253266356e-05,2.38388500543793e-05,3.55739265045019,4.12684803252976,3.55739265045019,12.20196355732373,2.4047179025754666,5.909917655802507,15803977,-0.00032691350744884647,1.0004082111690213,1.3746781490908688e-10,1.4000540821190899,2.943557734576562
24,screen,s25_wc6_eta0p00026,v0.61,6.0,0.00026,-17.1948749688398,2000000,3,75.0,0.00013166434365865975,0.0007119051328833281,3.57245892977936e-05,4.4062293195971305e-05,3.685538343383881,2.9881409728964825,2.9881409728964825,14.96537853177776,1.9719734442904877,6.15938098438261,22398959,-0.00041953557097499907,1.000385626257765,1.042987918253857e-10,1.1067099847294293,2.860382006774156
25,screen,s03_wc2_eta0p0002,v0.61,2.0,0.0002,-17.1948749688398,2000000,3,75.0,0.00011019794436436357,0.0005849870597893769,3.401347663224742e-05,3.1725830896690636e-05,3.2398318335940806,3.4734454937745527,3.2398318335940806,13.725897995197972,2.1323875966111077,5.72670523167689,19053952,-0.00023111628821888573,1.0004723197536876,1.382423064910654e-10,1.2303711333348224,2.837253109235008
26,screen,s06_wc3_eta0p00014,v0.61,3.0,0.00014,-17.1948749688398,2000000,3,75.0,7.514651286384817e-05,0.0004024843584183868,2.0964638778349417e-05,1.6911742305734524e-05,3.584441099049768,4.443451863523671,3.584441099049768,13.346921171706708,2.3620718869480055,6.215461798879373,15566362,-7.807326915095295e-05,1.0000859172749608,1.290194617808993e-10,1.6817174602853346,2.592177460443482
27,screen,s07_wc3_eta0p00017,v0.61,3.0,0.00017,-17.1948749688398,2000000,3,75.0,9.13372442257365e-05,0.0004886593326043354,2.8388829732764043e-05,1.9674219604446188e-05,3.217365600679291,4.642483720426458,3.217365600679291,13.192033201696127,2.1103912242846152,6.3712112853673615,19320981,-0.00016623367224748373,1.0002857435567156,1.5796786101418547e-10,1.5063864547294863,2.565152751380738
28,screen,s22_wc6_eta0p00017,v0.61,6.0,0.00017,-17.1948749688398,2000000,3,75.0,8.598796794198564e-05,0.00046568432794014125,2.334013881292535e-05,2.7537367178519835e-05,3.684124101882678,3.1225921993392105,3.1225921993392105,12.978051018047562,2.0741414125351407,5.27604675828122,20511597,-0.0002613666883498237,1.0003911732797255,1.574260721781684e-10,1.1868580897192686,2.4155886426747233
29,screen,s27_wc8_eta0p00017,v0.61,8.0,0.00017,-17.1948749688398,2000000,3,75.0,8.360142542888295e-05,0.0004535562199904364,2.745204681101935e-05,2.199881457103401e-05,3.045362191183684,3.8002695626591407,3.045362191183684,11.528330426436087,2.0302571808056826,5.390725156132635,21565131,-0.00018965987179518558,1.0002706024103807,1.5844481282556444e-10,1.1950047752061015,2.3229221672139797
30,screen,s26_wc8_eta0p00014,v0.61,8.0,0.00014,-17.1948749688398,2000000,3,75.0,6.883104643891251e-05,0.0003735728480978029,1.393021703419647e-05,2.0793227043281198e-05,4.941132379340768,3.310262822391174,3.310262822391174,13.910630148203559,2.21775497817121,6.55456550325261,18251773,-0.0001398887447971012,1.0001853455251815,1.3083489847076635e-10,1.293925443899339,2.2910972720837552
