catalog_id,generation,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,min_window_Q,projected_ntraj_Q10,selection_score,rank,source
coarse_c16_wc2_eta0p001,previous_grid,retained_top30,v0.61,c16_wc2_eta0p001,2.0,0.001,-17.1948749688398,500000,2,50.0,0.0005778050956928509,0.0003206473125199016,0.000365784401204335,1.8019957540014884,1.579632958077063,1.579632958077063,,,,0.7324293241145031,20038151,0.3809878978502497,11,v0.61 coarse grid with matching exact QM
coarse_ref_old_v060_wc4_eta0p00013758,previous_grid,retained_top30,v0.61,ref_old_v060_wc4_eta0p00013758,4.0,0.00013758,-17.1948749688398,500000,2,50.0,7.411803427479462e-05,1.9698677155404544e-05,1.894672320310056e-05,3.7625894211104187,3.911918355500411,3.7625894211104187,,,,1.9817207285180136,3531802,0.3250222456563884,12,v0.61 coarse grid with matching exact QM
coarse_c02_wc0p5_eta0p0001,previous_grid,screened_out,v0.61,c02_wc0p5_eta0p0001,0.5,0.0001,-17.1948749688398,500000,2,50.0,5.840644642115474e-05,1.4007831981141895e-05,1.557171815827521e-05,4.169556466681259,3.7508029510613805,3.7508029510613805,,,,2.0108837688279464,3554034,0.28761991330294445,13,v0.61 coarse grid with matching exact QM
coarse_c08_wc1_eta0p0001,previous_grid,screened_out,v0.61,c08_wc1_eta0p0001,1.0,0.0001,-17.1948749688398,500000,2,50.0,5.774792560869565e-05,1.5344253986875447e-05,1.4839038845485545e-05,3.763488642594795,3.8916217020527712,3.763488642594795,,,,2.0477986695174737,3530115,0.28696115662848076,14,v0.61 coarse grid with matching exact QM
coarse_c26_wc7_eta0p0001,previous_grid,screened_out,v0.61,c26_wc7_eta0p0001,7.0,0.0001,-17.1948749688398,500000,2,50.0,5.0872652802521603e-05,1.3260593105209609e-05,1.190345670751482e-05,3.8363783881231956,4.27377139704343,3.8363783881231956,,,,2.2089516496753614,3397248,0.27455410309175193,15,v0.61 coarse grid with matching exact QM
coarse_c14_wc2_eta0p0001,previous_grid,screened_out,v0.61,c14_wc2_eta0p0001,2.0,0.0001,-17.1948749688398,500000,2,50.0,5.640527478194776e-05,1.4145850875829141e-05,1.6049753696886127e-05,3.9874077054160684,3.5144012704002527,3.5144012704002527,,,,1.888946052956316,4048250,0.2648350836286414,16,v0.61 coarse grid with matching exact QM
coarse_c34_wc10_eta0p001,previous_grid,screened_out,v0.61,c34_wc10_eta0p001,10.0,0.001,-17.1948749688398,500000,2,50.0,0.0004955565316208842,0.0004183802395752261,0.000319340384735915,1.1844644769170118,1.5518129096972648,1.1844644769170118,,,,0.5371311635080835,35639034,0.26456534312426344,17,v0.61 coarse grid with matching exact QM
coarse_c20_wc4_eta0p0001,previous_grid,screened_out,v0.61,c20_wc4_eta0p0001,4.0,0.0001,-17.1948749688398,500000,2,50.0,5.3841953407454766e-05,1.6638399812996152e-05,1.3005090711283218e-05,3.236005506094351,4.140067501470134,3.236005506094351,,,,1.542467342795471,4774760,0.23825057971534716,18,v0.61 coarse grid with matching exact QM
coarse_c32_wc10_eta0p0001,previous_grid,screened_out,v0.61,c32_wc10_eta0p0001,10.0,0.0001,-17.1948749688398,500000,2,50.0,4.934265751648449e-05,1.6240848644000017e-05,1.4885151693072712e-05,3.0381822156019864,3.314891143463973,3.0381822156019864,,,,1.4902848268614322,5416795,0.21413585681078015,19,v0.61 coarse grid with matching exact QM
coarse_c23_wc4_eta0p003,previous_grid,screened_out,v0.61,c23_wc4_eta0p003,4.0,0.003,-17.1948749688398,500000,2,50.0,0.0017114453648830728,0.003558416881767841,0.0038824522520505347,0.48095695972328495,0.44081556031478947,0.44081556031478947,,,,0.20477242968712786,257309708,0.1829796304821177,20,v0.61 coarse grid with matching exact QM
