run,start_au,stop_au,observations,orbital,active,signal_RMS,RMSE,Q
pilot_n256_step10,1900,2000,11,9,True,8.090276785103111e-08,0.002266221021677652,3.569941637516888e-05
pilot_n256_step10,2000,2100,11,0,True,4.2935306801943324e-07,0.00846324558580635,5.0731491088891265e-05
pilot_n256_step10,2000,2100,11,1,False,3.592527948982841e-11,1.602314971635449e-05,2.242085989695287e-06
pilot_n256_step10,2000,2100,11,2,False,3.722653776924726e-11,1.343604367889685e-05,2.7706472722857137e-06
pilot_n256_step10,2000,2100,11,3,False,3.740714123067923e-11,7.862196808658865e-06,4.757848492101046e-06
pilot_n256_step10,2000,2100,11,4,False,4.0008129076445245e-11,1.074754487092355e-05,3.722536593886051e-06
pilot_n256_step10,2000,2100,11,5,True,9.102362658033568e-08,0.0025907723840933082,3.513377984851077e-05
pilot_n256_step10,2000,2100,11,6,True,8.839506151558106e-08,0.002170294863869538,4.0729516982764564e-05
pilot_n256_step10,2000,2100,11,7,True,8.583800008846252e-08,0.0019305401247781875,4.446320435754995e-05
pilot_n256_step10,2000,2100,11,8,True,8.334106886237806e-08,0.001245831196333952,6.689595597511273e-05
pilot_n256_step10,2000,2100,11,9,True,8.0903346056326e-08,0.0010139567210562669,7.978974287191148e-05
pilot_n256_step10,2100,2200,11,0,True,4.2934734110852594e-07,0.002538105964970333,0.0001691605264059747
pilot_n256_step10,2100,2200,11,1,False,2.8040515875738762e-11,8.768362598353747e-05,3.1979192878044693e-07
pilot_n256_step10,2100,2200,11,2,False,3.1669814480430366e-11,8.668609256081679e-05,3.6533904741653475e-07
pilot_n256_step10,2100,2200,11,3,False,5.4663844405461245e-11,8.044451405359149e-05,6.795223396967086e-07
pilot_n256_step10,2100,2200,11,4,False,8.181343548354644e-11,9.010464255087398e-05,9.079824653580282e-07
pilot_n256_step10,2100,2200,11,5,True,9.105086387982295e-08,0.0014725001457603208,6.183419685354878e-05
pilot_n256_step10,2100,2200,11,6,True,8.839919342086762e-08,0.0013591601245569532,6.503957247103847e-05
pilot_n256_step10,2100,2200,11,7,True,8.583881741499916e-08,0.0008292177812085469,0.00010351782048124079
pilot_n256_step10,2100,2200,11,8,True,8.333968540533238e-08,0.0007723347860161209,0.00010790616571243347
pilot_n256_step10,2100,2200,11,9,True,8.09067412452193e-08,0.0007693250030438389,0.00010516588038229787
pilot_n256_step10,2200,2300,11,0,True,4.293383335788383e-07,0.002104673250942114,0.00020399286843535155
pilot_n256_step10,2200,2300,11,1,False,2.1217316164088365e-11,0.00013137882870554996,1.6149722427227014e-07
pilot_n256_step10,2200,2300,11,2,False,2.4142405074931845e-11,0.00012405495593858997,1.946105650699105e-07
pilot_n256_step10,2200,2300,11,3,False,6.284550442701214e-11,0.00012462741846769177,5.042670802276476e-07
pilot_n256_step10,2200,2300,11,4,False,1.2071591338845742e-10,0.0001312192532339378,9.199558023184675e-07
pilot_n256_step10,2200,2300,11,5,True,9.108486202005853e-08,0.0009857865347592176,9.239816005633145e-05
pilot_n256_step10,2200,2300,11,6,True,8.838142569358542e-08,0.0004692670503189376,0.00018833929557491186
pilot_n256_step10,2200,2300,11,7,True,8.584399155622372e-08,0.0010492535630384945,8.181434362503502e-05
pilot_n256_step10,2200,2300,11,8,True,8.333403259733378e-08,0.0005549997909326325,0.0001501514666470372
pilot_n256_step10,2200,2300,11,9,True,8.092049195504596e-08,0.0006897564379643944,0.00011731748701593579
pilot_n256_step10,2300,2400,11,0,True,4.293394784138416e-07,0.0012832755482492348,0.00033456530750514715
pilot_n256_step10,2300,2400,11,1,False,2.136181437730863e-11,6.824984869596574e-05,3.1299431112982577e-07
pilot_n256_step10,2300,2400,11,2,False,2.6127351596087385e-11,6.971777926153636e-05,3.747588043227013e-07
