case_id,segment,start,end,points,SCI,tail_score,class,worst_series,limiting_metric,amplitude,amplitude_se,drift,drift_se,jump,jump_se,noise_sigma,rho1,tolerance
wc6.5_eta4.0e-5,3,20,29.5,20,99.9999999887,99.3128474406,strong,series_0,amplitude,3.31435302209e-05,1.05412305861e-05,1.97673171424e-05,1.07402498336e-05,3.26948808826e-06,1.32684949418e-05,1.75332612627e-05,0.156603884188,0.0001
wc6.5_eta4.0e-5,4,30,39.5,20,99.7355639127,99.3128474406,strong,series_0,drift,1.68561065602e-05,1.91297606698e-05,1.24476466524e-05,3.13931369773e-05,6.05095333872e-06,1.77344796521e-05,2.35660854466e-05,0.797214662359,0.0001
wc6.5_eta4.0e-5,5,40,50,21,99.3128474406,99.3128474406,strong,series_0,amplitude,3.8199991894e-05,2.50820855273e-05,4.36798780732e-05,1.33296219039e-05,0,1e-15,3.08987959086e-05,0.67134774159,0.0001
wc6.5_eta6.0e-5,1,0,9.5,20,10.0230015175,10.0230015175,not_converged,series_0,amplitude,0.000111888588944,9.2862042621e-06,5.33149894494e-06,1.32902044745e-05,2.36903916555e-05,1.92898959994e-05,3.16664993661e-06,0.0114258933404,0.0001
wc6.5_eta6.0e-5,2,10,19.5,20,57.3016964051,56.995628257,uncertain,series_0,amplitude,9.01041776551e-05,5.37639945665e-05,3.8027722347e-06,5.71398758521e-05,5.07951689033e-06,3.16100495125e-05,1.37744040911e-05,0.288897211588,0.0001
wc6.5_eta6.0e-5,3,20,29.5,20,67.2657517796,56.995628257,uncertain,series_0,jump,6.02070476193e-05,7.14352485103e-05,4.82955338273e-05,6.78087793578e-05,2.38351293591e-05,0.000170290902959,2.36555186628e-05,0.0407431532854,0.0001
wc6.5_eta6.0e-5,4,30,39.5,20,56.995628257,56.995628257,uncertain,series_0,drift,3.58012239609e-05,0.000251805070997,3.84670782924e-05,0.000349097478893,2.40063292164e-05,0.000197184063,5.4931152351e-05,0.798912259691,0.0001
wc6.5_eta6.0e-5,5,40,50,21,58.2218479868,58.2218479868,uncertain,series_0,drift,2.9224682668e-05,0.000292224809129,4.70997461643e-05,0.00025485234928,0,1e-15,6.37486983381e-05,0.442451830137,0.0001
wc6.6_eta4.2e-5,1,0,9.5,20,97.4355122133,44.9436018543,strong,series_0,amplitude,7.71606900022e-05,1.17181907169e-05,5.66931233637e-06,2.36197133538e-05,1.53812537252e-05,1.12057062357e-05,2.836594738e-06,0.340014417366,0.0001
wc6.6_eta4.2e-5,2,10,19.5,20,83.5682196678,44.9436018543,usable,series_0,amplitude,7.12325579963e-05,2.94487151543e-05,4.53275617993e-06,9.03833767803e-06,5.46671521207e-06,1.92185971335e-05,8.04609953663e-06,0.228904957576,0.0001
wc6.6_eta4.2e-5,3,20,29.5,20,92.7692114118,44.9436018543,usable,series_0,amplitude,3.33461743696e-05,4.56903598365e-05,2.65846293384e-06,5.88946820813e-05,1.75940119572e-05,4.50285304143e-05,1.42194929612e-05,0.102483229915,0.0001
wc6.6_eta4.2e-5,4,30,39.5,20,75.8037046106,44.9436018543,uncertain,series_5,drift,7.69167298406e-06,7.38297226056e-05,5.79618834408e-06,0.000134576443839,1.11791371081e-05,7.95163723524e-05,1.61059176625e-05,0.774403130514,0.0001
wc6.6_eta4.2e-5,5,40,50,21,44.9436018543,44.9436018543,not_converged,series_0,amplitude,0.000118701969216,0.000147159517042,1.3873276374e-05,0.000296633731526,0,1e-15,3.21027762408e-05,0.857278783235,0.0001
wc6.8_eta3.8e-5,1,0,9.5,20,99.9999999999,54.3305437967,strong,series_0,amplitude,6.99320012785e-05,4.25294338808e-06,3.45171808082e-06,6.58917715223e-07,1.30612897415e-05,6.6062989312e-06,1.15607813812e-06,0.233746334924,0.0001
wc6.8_eta3.8e-5,2,10,19.5,20,98.0365977009,54.3305437967,strong,series_0,amplitude,6.24934322992e-05,1.81949981337e-05,7.84072243408e-06,4.09524085302e-06,1.26315609844e-05,2.46608118017e-05,6.27590350619e-06,-0.00364477646779,0.0001
wc6.8_eta3.8e-5,3,20,29.5,20,87.9519047488,54.3305437967,usable,series_0,amplitude,2.67061561391e-05,6.25061615024e-05,4.62539509703e-06,3.42714396813e-05,2.11429048127e-05,6.02190438915e-05,1.3635688379e-05,0.487351382762,0.0001
wc6.8_eta3.8e-5,4,30,39.5,20,63.789678802,54.3305437967,uncertain,series_0,jump,1.59527072551e-05,7.82248023727e-05,1.96824612189e-05,3.39584201163e-05,5.08751923279e-05,0.000139225829787,1.70647021513e-05,0.836205164683,0.0001
wc6.8_eta3.8e-5,5,40,50,21,54.3305437967,54.3305437967,uncertain,series_0,drift,5.63170176993e-05,0.000180689080062,4.46482420444e-05,0.000508912897724,0,1e-15,3.94172339171e-05,0.95,0.0001
wc6.8_eta6.5e-5,1,0,9.5,20,1.44865999826,1.44865999826,not_converged,series_0,amplitude,0.000119928601376,9.12544012603e-06,8.1246551072e-06,1.8657139969e-05,2.34888478287e-05,1.57274481649e-05,2.41212879604e-06,0.260017510542,0.0001
wc6.8_eta6.5e-5,2,10,19.5,20,46.0638215722,46.0638215722,not_converged,series_0,amplitude,0.000104302674551,4.35378840637e-05,7.1955767865e-06,7.79394345227e-05,1.34002615937e-06,3.02694019548e-05,1.31032334714e-05,0.135504545453,0.0001
wc6.8_eta6.5e-5,3,20,29.5,20,67.4930902102,49.2865137762,uncertain,series_0,amplitude,6.65637026778e-05,7.37180182106e-05,4.06563712413e-05,6.72251845461e-05,3.72479058608e-06,0.000121630596911,1.84668279828e-05,0.309363995883,0.0001
wc6.8_eta6.5e-5,4,30,39.5,20,58.0544423609,49.2865137762,uncertain,series_0,jump,1.45710482031e-05,0.000168016123207,1.05774194333e-05,0.000411518972994,2.81189686188e-05,0.000353594814427,3.66526346145e-05,0.886610914753,0.0001
wc6.8_eta6.5e-5,5,40,50,21,49.2865137762,49.2865137762,not_converged,series_0,drift,0.000105890889524,0.00047098743924,0.000104911800638,0.00027462625288,0,1e-15,0.000102745678146,0.932315497451,0.0001
wc7.0_eta3.0e-5,1,0,9.5,20,100,71.1273524689,strong,series_0,,5.37640962618e-05,4.27815623727e-06,5.4519740552e-06,2.18761901371e-06,1.05017371821e-05,7.00753881519e-06,1.47564157645e-06,-0.124180526391,0.0001
wc7.0_eta3.0e-5,2,10,19.5,20,99.7182282868,71.1273524689,strong,series_0,amplitude,4.64253699551e-05,1.93530922899e-05,4.15158938119e-06,1.37339410116e-05,5.96869191138e-06,1.6688474732e-05,4.92096941532e-06,0.295806233113,0.0001
wc7.0_eta3.0e-5,3,20,29.5,20,93.1848840751,71.1273524689,usable,series_0,jump,2.53438451387e-05,4.30522860005e-05,2.453767731e-05,2.92669166045e-05,1.0513612434e-06,6.64217175829e-05,1.07599464093e-05,0.311454622444,0.0001
wc7.0_eta3.0e-5,4,30,39.5,20,71.1307127378,71.1273524689,uncertain,series_0,amplitude,4.90518797227e-05,9.14347543381e-05,4.14871995861e-05,7.48811232267e-05,5.58710395182e-06,0.000121854052235,1.99464466733e-05,0.818468935892,0.0001
wc7.0_eta3.0e-5,5,40,50,21,71.1273524689,71.1273524689,uncertain,series_0,drift,1.60041992252e-05,0.000146070208431,6.11625309799e-06,0.000168519526495,0,1e-15,3.18651441033e-05,0.877575098381,0.0001
wc7.0_eta4.2e-5,1,0,9.5,20,96.8552690274,68.6272094288,strong,series_0,amplitude,7.58014463358e-05,1.30104246462e-05,4.55830889373e-06,2.21223194317e-05,1.57477304209e-05,9.17662867117e-06,2.84886512919e-06,0.425509862531,0.0001
