# time_au Re_C_plus Im_C_plus Re_C_minus Im_C_minus; exact discrete sum, no BSD approximation
2.100000000000000000e+01 -6.870625328197452639e-08 1.083612835543273129e-07 -1.526127757566063527e-07 2.503900121288159811e-08
2.200000000000000000e+01 -4.593398667871246091e-08 1.192841003003943486e-07 -1.534756658070576704e-07 3.182621601086383872e-09
2.300000000000000000e+01 -2.154944047574031437e-08 1.254797245743118044e-07 -1.511993949372151714e-07 -1.840895534182757244e-08
2.400000000000000000e+01 3.476859906024570946e-09 1.267417285836942721e-07 -1.458788473419472866e-07 -3.928401316119864540e-08
2.500000000000000000e+01 2.815658875633630180e-08 1.230608926889037259e-07 -1.376739448728512803e-07 -5.901298480939347185e-08
2.600000000000000000e+01 5.152329128316764157e-08 1.146240211592168406e-07 -1.268051622313757134e-07 -7.719780664349619603e-08
2.700000000000000000e+01 7.267086188873204976e-08 1.018048582807665058e-07 -1.135477009801747499e-07 -9.348042569378106987e-08
2.800000000000000000e+01 9.078927317923769478e-08 8.514753549391284903e-08 -9.822447583642631714e-08 -1.075502689734386514e-07
2.900000000000000000e+01 1.051961239587990048e-07 6.534328331699924733e-08 -8.119809373981362760e-08 -1.191505106880537192e-07
3.000000000000000000e+01 1.153627572982768595e-07 4.320141231504125532e-08 -6.286202852298551768e-08 -1.280830040627518908e-07
3.100000000000000000e+01 1.209339328321408716e-07 1.961579426772521314e-08 -4.363121113711400741e-08 -1.342117783334465896e-07
3.200000000000000000e+01 1.217403106379597683e-07 -4.471751141669425530e-09 -2.393226691886304608e-08 -1.374650373751350855e-07
3.300000000000000000e+01 1.178033057007490146e-07 -2.810964420159364020e-08 -4.193637091332767950e-09 -1.378356335475554057e-07
3.400000000000000000e+01 1.093321892595951768e-07 -5.037473697272844248e-08 1.516417851653049150e-08 -1.353800276872776669e-07
3.500000000000000000e+01 9.671363292110942302e-08 -7.040895310086938863e-08 3.373802660626570715e-08 -1.302157828279613746e-07
3.600000000000000000e+01 8.049419995892580098e-08 -8.745289872782310147e-08 5.115093417400833884e-08 -1.225176742754724730e-07
3.700000000000000000e+01 6.135657293114741577e-08 -1.008751069892899295e-07 6.706016865868497419e-08 -1.125125312393315572e-07
3.800000000000000000e+01 4.009055597890739288e-08 -1.101957720258218355e-07 8.116434401757867512e-08 -1.004729545348840820e-07
3.900000000000000000e+01 1.756009385346915980e-08 -1.151040673186738996e-07 9.320941826104192765e-08 -8.671008022053200185e-08
4.000000000000000000e+01 -5.332300202920636545e-09 -1.154684170794259512e-07 1.029934574658658227e-07 -7.156557982803797057e-08
4.100000000000000000e+01 -2.768222485572240143e-08 -1.113393865779622767e-07 1.103700734894325264e-07 -5.540310361012959733e-08
4.200000000000000000e+01 -4.861966826298768413e-08 -1.029451650312127565e-07 1.152504766787721378e-07 -3.859938363036994638e-08
4.300000000000000000e+01 -6.734340655743988673e-08 -9.067992001846922553e-08 1.176041199256937938e-07 -2.153521835815444232e-08
4.400000000000000000e+01 -8.315214262920962498e-08 -7.508559259443021639e-08 1.174579455613331457e-07 -4.586559653799362379e-09
4.500000000000000000e+01 -9.547115650792197521e-08 -5.682796536544335525e-08 1.148942809185882057e-07 1.188408327354424689e-08
4.600000000000000000e+01 -1.038734397371299963e-07 -3.666806107552445274e-08 1.100474610576168328e-07 2.753571994690315335e-08
4.700000000000000000e+01 -1.080945274261126504e-07 -1.543010772632306368e-08 1.030992873392009854e-07 4.205624827462458789e-08
4.800000000000000000e+01 -1.080405125578336357e-07 6.032568985461281726e-09 9.427345750789981814e-08 5.516895226959921881e-08
4.900000000000000000e+01 -1.037890159038873392e-07 2.687229865626803463e-08 8.382912606755456633e-08 6.663798713242066755e-08
5.000000000000000000e+01 -9.558317920702967917e-08 4.628103119715174516e-08 7.205377245918508197e-08 7.627273895544012813e-08
5.100000000000000000e+01 -8.381903671351627129e-08 6.352213417648666092e-08 5.925556846900818391e-08 8.393097665805839248e-08
5.200000000000000000e+01 -6.902688868932650728e-08 7.795875322237604047e-08 4.575544511518735008e-08 8.952074569801254774e-08
5.300000000000000000e+01 -5.184753920398552905e-08 8.907762803490283881e-08 3.187906283463663036e-08 9.300098577505186103e-08
5.400000000000000000e+01 -3.300445958846119097e-08 9.650746221679298765e-08 1.794888710244638950e-08 9.438088730027254810e-08
5.500000000000000000e+01 -1.327309074583264500e-08 1.000311853626939364e-07 4.276564789842562303e-09 9.371803300869109382e-08
5.600000000000000000e+01 6.551403796227649342e-09 9.959171003668859971e-08 -8.844215142391130738e-09 9.111540094253179675e-08
5.700000000000000000e+01 2.568657993557735619e-08 9.529106292776555270e-08 -2.114420923003544532e-08 8.671733238288518476e-08
5.800000000000000000e+01 4.339401110809058067e-08 8.738304674691650216e-08 -3.238430820929440285e-08 8.070459248799125443e-08
5.900000000000000000e+01 5.900817440573140614e-08 7.625985560250524179e-08 -4.236030332121588821e-08 7.328867182969943677e-08
6.000000000000000000e+01 7.196177962700217488e-08 6.243331058904677578e-08 -5.090663309443800548e-08 6.470549323414393890e-08
6.100000000000000000e+01 8.180656514560236585e-08 4.651159418180937143e-08 -5.789904189544343884e-08 5.520869997421323194e-08
